"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2021-01-01,NA,"D5","TM",5.3
2021-01-01,"13:06:00","D5","TX",6.5
2021-01-01,"23:56:00","D5","TN",3.1
2021-01-01,NA,"D5","HRM",77
2021-01-01,"10:36:00","D5","HRX",88
2021-01-01,"13:05:00","D5","HRN",64
2021-01-01,NA,"D5","PM",956.3
2021-01-01,"00:00:00","D5","PX",957.8
2021-01-01,"12:40:00","D5","PN",954.9
2021-01-01,NA,"D5","PPT",1.2
2021-01-01,NA,"D5","RS24h",1.9
2021-01-01,NA,"D5","VVM10",5.3
2021-01-01,NA,"D5","DVM10",337
2021-01-01,"23:59:00","D5","VVX10",13.6
2021-01-01,"23:59:00","D5","DVVX10",337
2021-01-01,NA,"X2","TM",8.4
2021-01-01,"00:00:00","X2","TX",9.9
2021-01-01,"23:59:00","X2","TN",6.3
2021-01-01,NA,"X2","HRM",66
2021-01-01,"03:54:00","X2","HRX",80
2021-01-01,"22:30:00","X2","HRN",56
2021-01-01,NA,"X4","TM",8.9
2021-01-01,"00:00:00","X4","TX",10.3
2021-01-01,"23:54:00","X4","TN",7
2021-01-01,NA,"X4","HRM",61
2021-01-01,"16:31:00","X4","HRX",66
2021-01-01,"23:00:00","X4","HRN",53
2021-01-01,NA,"X4","PM",1001
2021-01-01,"00:03:00","X4","PX",1002.5
2021-01-01,"13:01:00","X4","PN",999.6
2021-01-01,NA,"X4","PPT",0.1
2021-01-01,NA,"X4","RS24h",1.5
2021-01-01,NA,"X4","VVM10",1.9
2021-01-01,NA,"X4","DVM10",332
2021-01-01,"22:28:00","X4","VVX10",11.5
2021-01-01,"22:28:00","X4","DVVX10",306
2021-01-01,NA,"X8","TM",8
2021-01-01,"09:17:00","X8","TX",9.7
2021-01-01,"03:23:00","X8","TN",5.7
2021-01-01,NA,"X8","HRM",66
2021-01-01,"03:25:00","X8","HRX",78
2021-01-01,"23:10:00","X8","HRN",56
2021-01-01,NA,"X8","PM",995.4
2021-01-01,"00:00:00","X8","PX",996.9
2021-01-01,"13:03:00","X8","PN",994.1
2021-01-01,NA,"X8","PPT",0
2021-01-01,NA,"X8","RS24h",1.6
2021-01-01,NA,"X8","VVM10",2.7
2021-01-01,NA,"X8","DVM10",326
2021-01-01,"23:43:00","X8","VVX10",10.2
2021-01-01,"23:43:00","X8","DVVX10",322
2021-01-02,NA,"D5","TM",3.2
2021-01-02,"12:51:00","D5","TX",7.2
2021-01-02,"07:33:00","D5","TN",0.2
2021-01-02,NA,"D5","HRM",71
2021-01-02,"07:30:00","D5","HRX",84
2021-01-02,"18:01:00","D5","HRN",54
2021-01-02,NA,"D5","PM",956.8
2021-01-02,"23:15:00","D5","PX",959.5
2021-01-02,"06:09:00","D5","PN",955.1
2021-01-02,NA,"D5","PPT",0
2021-01-02,NA,"D5","RS24h",7.2
2021-01-02,NA,"D5","VVM10",7.3
2021-01-02,NA,"D5","DVM10",335
2021-01-02,"07:56:00","D5","VVX10",14.4
2021-01-02,"07:56:00","D5","DVVX10",326
2021-01-02,NA,"X2","TM",7
2021-01-02,"13:41:00","X2","TX",10.3
2021-01-02,"07:52:00","X2","TN",3.7
2021-01-02,NA,"X2","HRM",59
2021-01-02,"07:52:00","X2","HRX",71
2021-01-02,"16:46:00","X2","HRN",46
2021-01-02,NA,"X4","TM",7.4
2021-01-02,"13:47:00","X4","TX",10.7
2021-01-02,"07:04:00","X4","TN",4.3
2021-01-02,NA,"X4","HRM",55
2021-01-02,"07:06:00","X4","HRX",65
2021-01-02,"14:04:00","X4","HRN",43
2021-01-02,NA,"X4","PM",1001.9
2021-01-02,"23:44:00","X4","PX",1004.4
2021-01-02,"06:30:00","X4","PN",1000.5
2021-01-02,NA,"X4","PPT",0
2021-01-02,NA,"X4","RS24h",7
2021-01-02,NA,"X4","VVM10",1.7
2021-01-02,NA,"X4","DVM10",318
2021-01-02,"01:46:00","X4","VVX10",7.2
2021-01-02,"01:46:00","X4","DVVX10",311
2021-01-02,NA,"X8","TM",6
2021-01-02,"13:23:00","X8","TX",9.4
2021-01-02,"07:13:00","X8","TN",3.2
2021-01-02,NA,"X8","HRM",60
2021-01-02,"22:35:00","X8","HRX",71
2021-01-02,"23:59:00","X8","HRN",44
2021-01-02,NA,"X8","PM",996.3
2021-01-02,"23:44:00","X8","PX",998.8
2021-01-02,"06:01:00","X8","PN",994.6
2021-01-02,NA,"X8","PPT",0
2021-01-02,NA,"X8","RS24h",6.8
2021-01-02,NA,"X8","VVM10",3.3
2021-01-02,NA,"X8","DVM10",320
2021-01-02,"05:23:00","X8","VVX10",11.8
2021-01-02,"05:23:00","X8","DVVX10",311
2021-01-03,NA,"D5","TM",3.4
2021-01-03,"14:50:00","D5","TX",9.2
2021-01-03,"09:30:00","D5","TN",0.2
2021-01-03,NA,"D5","HRM",54
2021-01-03,"21:21:00","D5","HRX",67
2021-01-03,"13:51:00","D5","HRN",37
2021-01-03,NA,"D5","PM",960.5
2021-01-03,"21:32:00","D5","PX",962
2021-01-03,"04:32:00","D5","PN",958.8
2021-01-03,NA,"D5","PPT",0
2021-01-03,NA,"D5","RS24h",8.7
2021-01-03,NA,"D5","VVM10",5
2021-01-03,NA,"D5","DVM10",292
2021-01-03,"02:41:00","D5","VVX10",12.9
2021-01-03,"02:41:00","D5","DVVX10",317
2021-01-03,NA,"X2","TM",5.9
2021-01-03,"13:18:00","X2","TX",9.7
2021-01-03,"23:16:00","X2","TN",2.9
2021-01-03,NA,"X2","HRM",50
2021-01-03,"23:19:00","X2","HRX",76
2021-01-03,"13:12:00","X2","HRN",33
2021-01-03,NA,"X4","TM",6.7
2021-01-03,"13:50:00","X4","TX",9.8
2021-01-03,"08:06:00","X4","TN",4.4
2021-01-03,NA,"X4","HRM",44
2021-01-03,"23:33:00","X4","HRX",62
2021-01-03,"13:13:00","X4","HRN",31
2021-01-03,NA,"X4","PM",1005.8
2021-01-03,"09:57:00","X4","PX",1007.3
2021-01-03,"00:46:00","X4","PN",1004.2
2021-01-03,NA,"X4","PPT",0
2021-01-03,NA,"X4","RS24h",8.5
2021-01-03,NA,"X4","VVM10",2.1
2021-01-03,NA,"X4","DVM10",307
2021-01-03,"04:19:00","X4","VVX10",10.6
2021-01-03,"04:19:00","X4","DVVX10",310
2021-01-03,NA,"X8","TM",5.3
2021-01-03,"13:08:00","X8","TX",10.5
2021-01-03,"23:17:00","X8","TN",2.8
2021-01-03,NA,"X8","HRM",49
2021-01-03,"23:18:00","X8","HRX",72
2021-01-03,"13:11:00","X8","HRN",32
2021-01-03,NA,"X8","PM",1000.2
2021-01-03,"21:38:00","X8","PX",1001.5
2021-01-03,"00:54:00","X8","PN",998.6
2021-01-03,NA,"X8","PPT",0
2021-01-03,NA,"X8","RS24h",8.5
2021-01-03,NA,"X8","VVM10",2.8
2021-01-03,NA,"X8","DVM10",309
2021-01-03,"03:53:00","X8","VVX10",10.3
2021-01-03,"03:53:00","X8","DVVX10",323
2021-01-04,NA,"D5","TM",3.5
2021-01-04,"14:09:00","D5","TX",9
2021-01-04,"08:15:00","D5","TN",0.6
2021-01-04,NA,"D5","HRM",67
2021-01-04,"08:09:00","D5","HRX",84
2021-01-04,"14:09:00","D5","HRN",43
2021-01-04,NA,"D5","PM",959.8
2021-01-04,"00:00:00","D5","PX",961.4
2021-01-04,"13:55:00","D5","PN",957.8
2021-01-04,NA,"D5","PPT",0
2021-01-04,NA,"D5","RS24h",8.8
2021-01-04,NA,"D5","VVM10",2.7
2021-01-04,NA,"D5","DVM10",304
2021-01-04,"09:13:00","D5","VVX10",11.3
2021-01-04,"09:13:00","D5","DVVX10",326
2021-01-04,NA,"X2","TM",6.2
2021-01-04,"14:30:00","X2","TX",10.4
2021-01-04,"03:12:00","X2","TN",1.8
2021-01-04,NA,"X2","HRM",58
2021-01-04,"03:34:00","X2","HRX",77
2021-01-04,"14:26:00","X2","HRN",36
2021-01-04,NA,"X4","TM",7
2021-01-04,"13:44:00","X4","TX",11
2021-01-04,"08:21:00","X4","TN",4.5
2021-01-04,NA,"X4","HRM",53
2021-01-04,"08:17:00","X4","HRX",65
2021-01-04,"14:25:00","X4","HRN",33
2021-01-04,NA,"X4","PM",1005.2
2021-01-04,"08:24:00","X4","PX",1006.7
2021-01-04,"13:43:00","X4","PN",1002.7
2021-01-04,NA,"X4","PPT",0
2021-01-04,NA,"X4","RS24h",8.9
2021-01-04,NA,"X4","VVM10",2.4
2021-01-04,NA,"X4","DVM10",320
2021-01-04,"11:21:00","X4","VVX10",8.9
2021-01-04,"11:21:00","X4","DVVX10",285
2021-01-04,NA,"X8","TM",5.7
2021-01-04,"13:41:00","X8","TX",10.8
2021-01-04,"02:53:00","X8","TN",2.2
2021-01-04,NA,"X8","HRM",59
2021-01-04,"03:12:00","X8","HRX",75
2021-01-04,"14:20:00","X8","HRN",35
2021-01-04,NA,"X8","PM",999.5
2021-01-04,"00:00:00","X8","PX",1000.9
2021-01-04,"13:57:00","X8","PN",997.2
2021-01-04,NA,"X8","PPT",0
2021-01-04,NA,"X8","RS24h",9
2021-01-04,NA,"X8","VVM10",2.3
2021-01-04,NA,"X8","DVM10",304
2021-01-04,"14:53:00","X8","VVX10",9.5
2021-01-04,"14:53:00","X8","DVVX10",292
2021-01-05,NA,"D5","TM",2.9
2021-01-05,"12:00:00","D5","TX",8.8
2021-01-05,"07:22:00","D5","TN",0.6
2021-01-05,NA,"D5","HRM",72
2021-01-05,"17:37:00","D5","HRX",85
2021-01-05,"12:03:00","D5","HRN",49
2021-01-05,NA,"D5","PM",961
2021-01-05,"22:59:00","D5","PX",962.6
2021-01-05,"04:41:00","D5","PN",959.3
2021-01-05,NA,"D5","PPT",0
2021-01-05,NA,"D5","RS24h",6.7
2021-01-05,NA,"D5","VVM10",3.9
2021-01-05,NA,"D5","DVM10",313
