"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2014S007072,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dijous,4,Laboral,2014,10,Octubre,2,16,Tarda,Desconegut,0,1,0,1,1,-1,-1
2014S000436,-1,Desconegut,-1--1--1,Desconegut,-1,Desconegut,Desconegut,Dilluns,1,Laboral,2014,1,Gener,20,09,Matí,Desconegut,0,0,0,0,1,-1,-1
2014S003380,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",209900,Meridiana,"0163 0163",Dijous,4,Laboral,2014,5,Maig,8,13,Matí,Desconegut,0,1,0,1,2,"4585072,01","432111,21"
2014S002456,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",134801,Freser,"0101 0101",Dijous,4,Laboral,2014,4,Abril,3,10,Matí,Desconegut,0,1,0,1,1,"4585510,29","431800,00"
2014S006504,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0358 0358",Dimecres,3,Laboral,2014,9,Setembre,10,14,Tarda,Desconegut,0,2,0,2,2,"4585511,58","431690,10"
2014S003469,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",90502,Còrsega,"0711 0711",Dilluns,1,Laboral,2014,5,Maig,12,08,Matí,Desconegut,0,1,0,1,2,"4585164,06","431643,32"
2014S003302,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",194406,Maragall,"0029 0031",Dilluns,1,Laboral,2014,5,Maig,5,17,Tarda,Desconegut,0,1,0,1,2,"4585336,24","431615,03"
2014S008870,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",161407,Indústria,"0288 0288",Dimarts,2,Laboral,2014,12,Desembre,2,16,Tarda,Desconegut,0,1,0,1,2,"4585306,47","431650,48"
2014S000362,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",161407,Indústria,"0298 0300",Dijous,4,Laboral,2014,1,Gener,16,19,Tarda,Desconegut,0,1,0,1,1,"4585332,39","431676,99"
2014S002612,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0248 0250",Dimarts,2,Laboral,2014,4,Abril,8,15,Tarda,Desconegut,0,1,0,1,2,"4585045,72","431213,37"
2014S000217,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0262 0262",Dissabte,6,Laboral,2014,1,Gener,11,00,Nit,"Creuar per fora pas de vianants",1,0,0,1,1,"4585086,56","431255,05"
2014S003907,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",105304,"Dos de Maig","0278 0278",Dimarts,2,Laboral,2014,5,Maig,27,17,Tarda,Desconegut,0,1,0,1,2,"4584772,78","431449,64"
2014S003054,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",134801,Freser,"0007 0007",Divendres,5,Laboral,2014,4,Abril,25,22,Nit,Desconegut,0,1,0,1,2,"4584800,79","431491,51"
2014S008180,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",161101,Independència,"0343 0343",Divendres,5,Laboral,2014,11,Novembre,7,15,Tarda,Desconegut,0,3,0,3,3,"4584865,16","431521,63"
2014S003278,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",350308,València,"0563 0563",Dilluns,1,Laboral,2014,5,Maig,5,06,Matí,Desconegut,0,1,0,1,2,"4584545,45","431816,61"
2014S007683,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",18505,Aragó,"0555 0555",Dijous,4,Laboral,2014,10,Octubre,23,08,Matí,Desconegut,0,1,0,1,2,"4584488,01","431940,62"
