"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2010S000001    ",2,Eixample,7,"la Dreta de l'Eixample",335100,Tetuan,"0030 0030",Divendres,Dv,Laboral,2010,1,Gener,1,Matí,07,"No és causa del  vianant",Motocicleta,Home,Conductor,30,"Ferit lleu","4583198,28","431179,27"
"2010S000001    ",2,Eixample,7,"la Dreta de l'Eixample",335100,Tetuan,"0030 0030",Divendres,Dv,Laboral,2010,1,Gener,1,Matí,07,"No és causa del  vianant",Motocicleta,Home,Conductor,39,"Ferit lleu","4583198,28","431179,27"
"2010S000002    ",2,Eixample,5,"el Fort Pienc",76807,Sardenya,"0242 0242",Divendres,Dv,Laboral,2010,1,Gener,1,Tarda,14,"No és causa del  vianant",Ciclomotor,Home,Conductor,39,"Ferit lleu","4583631,60","431444,51"
"2010S000005    ",9,"Sant Andreu",61,"la Sagrera",209900,Meridiana,"0315 0315",Divendres,Dv,Laboral,2010,1,Gener,1,Tarda,20,"No és causa del  vianant",Motocicleta,Home,Conductor,34,"Ferit lleu","4586479,84","432062,05"
"2010S000006    ",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",62609,Icària,"0135 0135",Divendres,Dv,Laboral,2010,1,Gener,1,Tarda,21,"No és causa del  vianant",Turismo,Dona,Conductor,32,"Ferit lleu","4582584,02","432826,97"
"2010S000007    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",11200,Almogàvers,"0116 0116",Divendres,Dv,Laboral,2010,1,Gener,1,Tarda,21,"No és causa del  vianant",Furgoneta,Home,Passatger,40,"Ferit lleu","4583367,43","432412,50"
"2010S000007    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",11200,Almogàvers,"0116 0116",Divendres,Dv,Laboral,2010,1,Gener,1,Tarda,21,"No és causa del  vianant",Turismo,Home,Conductor,42,"Ferit lleu","4583367,43","432412,50"
"2010S000008    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16204,"Àngel Guimerà","0001 0001",Dissabte,Ds,Laboral,2010,1,Gener,2,Nit,00,"No és causa del  vianant",Ciclomotor,Home,Conductor,18,"Ferit lleu","4583192,59","427666,92"
"2010S000008    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",16204,"Àngel Guimerà","0001 0001",Dissabte,Ds,Laboral,2010,1,Gener,2,Nit,00,"No és causa del  vianant",Ciclomotor,Home,Passatger,19,"Ferit lleu","4583192,59","427666,92"
"2010S000009    ",7,Horta-Guinardó,36,"la Font d'en Fargues",78303,Ciències,"0043 0043",Dissabte,Ds,Laboral,2010,1,Gener,2,Matí,09,"No és causa del  vianant",Motocicleta,Home,Conductor,43,"Ferit lleu","4586529,19","429781,12"
"2010S000010    ",2,Eixample,7,"la Dreta de l'Eixample",305100,"Sant Joan","0052 0052",Dissabte,Ds,Laboral,2010,1,Gener,2,Matí,10,"No és causa del  vianant",Motocicleta,Home,Conductor,43,"Ferit lleu","4583270,02","431068,06"
"2010S000012    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",28000,Augusta,"0262 0262",Dissabte,Ds,Laboral,2010,1,Gener,2,Matí,11,"No és causa del  vianant",Motocicleta,Dona,Conductor,46,"Ferit lleu","4583500,88","427583,77"
"2010S000012    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",28000,Augusta,"0262 0262",Dissabte,Ds,Laboral,2010,1,Gener,2,Matí,11,"No és causa del  vianant",Motocicleta,Home,Conductor,39,"Ferit lleu","4583500,88","427583,77"
"2010S000013    ",2,Eixample,7,"la Dreta de l'Eixample",144601,Diagonal,0374B0374B,Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,14,"No és causa del  vianant",Motocicleta,Dona,Passatger,25,"Ferit lleu","4583616,98","430648,04"
"2010S000013    ",2,Eixample,7,"la Dreta de l'Eixample",144601,Diagonal,0374B0374B,Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,14,"No és causa del  vianant",Motocicleta,Home,Conductor,24,"Ferit lleu","4583616,98","430648,04"
"2010S000014    ",9,"Sant Andreu",58,"Baró de Viver",314100,"Santa Coloma",0108U0108U,Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,15,"No és causa del  vianant",Motocicleta,Dona,Passatger,33,"Ferit lleu","4589051,16","433265,97"
"2010S000014    ",9,"Sant Andreu",58,"Baró de Viver",314100,"Santa Coloma",0108U0108U,Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,15,"No és causa del  vianant",Motocicleta,Home,Conductor,29,"Ferit lleu","4589051,16","433265,97"
"2010S000015    ",2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9998 9998",Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,15,"No és causa del  vianant",Turismo,Home,Passatger,37,"Ferit lleu","4582424,87","430448,19"
"2010S000015    ",2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9998 9998",Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,15,"No és causa del  vianant",Motocicleta,Home,Conductor,47,"Ferit lleu","4582424,87","430448,19"
"2010S000015    ",2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9998 9998",Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,15,"No és causa del  vianant",Turismo,Dona,Passatger,19,"Ferit lleu","4582424,87","430448,19"
"2010S000016    ",2,Eixample,10,"Sant Antoni",285807,Rocafort,"0009 0009",Dissabte,Ds,Laboral,2010,1,Gener,2,Tarda,16,"Creuar per fora pas de vianants",Turismo,Home,Vianant,7,"Ferit lleu","4581002,75","429681,42"
