"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2011S000321    ",2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","9998 9998",Dilluns,Dl,Laboral,2011,1,Gener,17,Tarda,21,"No és causa del  vianant",Motocicleta,Home,Conductor,33,"Ferit lleu","4582424,87","430448,19"
"2011S000324    ",9,"Sant Andreu",60,"Sant Andreu",170758,"Josep Soldevila",0011U0011U,Dilluns,Dl,Laboral,2011,1,Gener,17,Tarda,20,"No és causa del  vianant",Ciclomotor,Home,Conductor,19,"Ferit lleu","4586818,15","432911,03"
"2011S000004    ",1,"Ciutat Vella",2,"el Barri Gòtic",74404,Catalunya,"0020 0020",Dissabte,Ds,Laboral,2011,1,Gener,1,Tarda,14,"Creuar per fora pas de vianants",Motocicleta,Home,Conductor,26,"Ferit lleu","4582153,19","430770,60"
"2011S000011    ",9,"Sant Andreu",57,"la Trinitat Vella",314100,"Santa Coloma",0079I0079I,Diumenge,Dg,Laboral,2011,1,Gener,2,Matí,06,"No és causa del  vianant",Turismo,Home,Passatger,22,"Ferit lleu","4588967,90","432787,54"
"2011S000013    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",23403,Aribau,"0015 0015",Diumenge,Dg,Laboral,2011,1,Gener,2,Nit,04,"No és causa del  vianant",Taxi,Home,Conductor,29,"Ferit lleu","4582217,31","429990,57"
"2011S000015    ",3,Sants-Montjuïc,13,"la Marina de Port",369408,"Zona Franca","0130 0132",Diumenge,Dg,Laboral,2011,1,Gener,2,Tarda,14,"No és causa del  vianant",Ciclomotor,Dona,Conductor,47,"Ferit lleu","4579071,94","428225,95"
"2011S000033    ",2,Eixample,6,"la Sagrada Família",90502,Còrsega,"0551 0553",Dilluns,Dl,Laboral,2011,1,Gener,3,Matí,13,"No és causa del  vianant",Ciclomotor,Dona,Conductor,32,"Ferit lleu","4584416,50","430916,18"
"2011S000081    ",4,"Les Corts",19,"les Corts",320704,Sarrià,"0066 0066",Dimecres,Dc,Laboral,2011,1,Gener,5,Tarda,20,"No és causa del  vianant",Ciclomotor,Dona,Conductor,27,"Ferit lleu","4582739,77","428214,10"
"2011S000100    ",9,"Sant Andreu",60,"Sant Andreu",701326,"Fabra i Puig","0026 0026",Divendres,Dv,Laboral,2011,1,Gener,7,Matí,12,"No és causa del  vianant",Autobús,Dona,Passatger,52,"Ferit lleu","4587042,85","432258,14"
"2011S000102    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",8501,"Alfons XII","0073 0073",Divendres,Dv,Laboral,2011,1,Gener,7,Tarda,14,"No és causa del  vianant",Motocicleta,Home,Conductor,48,"Ferit lleu","4583745,76","428831,97"
"2011S000140    ",2,Eixample,6,"la Sagrada Família",76807,Sardenya,"0245 0245",Dilluns,Dl,Laboral,2011,1,Gener,10,Nit,05,"No és causa del  vianant",Motocicleta,Home,Conductor,32,"Ferit lleu","4583816,58","431230,25"
"2011S000141    ",2,Eixample,5,"el Fort Pienc",169409,"Corts Catalanes","0710 0710",Dilluns,Dl,Laboral,2011,1,Gener,10,Matí,06,"No és causa del  vianant",Motocicleta,Home,Conductor,27,"Ferit lleu","4583218,66","431303,54"
"2011S000149    ",4,"Les Corts",19,"les Corts",343903,Corts,"0195 0197",Dilluns,Dl,Laboral,2011,1,Gener,10,Matí,11,"No és causa del  vianant",Autobús,Home,Passatger,69,"Ferit lleu","4581876,40","427283,00"
"2011S000153    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",110009,"Ramon Turró","0324 0324",Dilluns,Dl,Laboral,2011,1,Gener,10,Matí,10,"No és causa del  vianant",Furgoneta,Dona,Passatger,31,"Ferit lleu","4584279,85","434109,37"
"2011S000157    ",9,"Sant Andreu",59,"el Bon Pastor",318906,Santander,0077B0077B,Dilluns,Dl,Laboral,2011,1,Gener,10,Tarda,15,"No és causa del  vianant",Motocicleta,Home,Conductor,60,"Ferit lleu","4587118,69","433649,62"
"2011S000178    ",10,"Sant Martí",65,"el Clot",350308,València,"0620 0626",Dimarts,Dm,Laboral,2011,1,Gener,11,Tarda,14,"No és causa del  vianant",Motocicleta,Home,Conductor,25,"Ferit lleu","4584886,86","432198,76"
"2011S000178    ",10,"Sant Martí",65,"el Clot",350308,València,"0620 0626",Dimarts,Dm,Laboral,2011,1,Gener,11,Tarda,14,"No és causa del  vianant",Bicicleta,Home,Conductor,63,"Ferit lleu","4584886,86","432198,76"
"2011S000196    ",8,"Nou Barris",51,Verdun,120807,Favència,"0296 0296",Dimecres,Dc,Laboral,2011,1,Gener,12,Matí,10,"No és causa del  vianant",Turismo,Dona,Conductor,52,"Ferit lleu","4588734,76","431423,83"
"2011S000201    ",6,Gràcia,32,"el Camp d'en Grassot i Gràcia Nova",297001,"Sant Antoni Maria Claret","0042 0042",Dimecres,Dc,Laboral,2011,1,Gener,12,Matí,11,"No és causa del  vianant",Motocicleta,Home,Conductor,30,"Ferit lleu","4584233,92","430384,02"
"2011S000203    ",2,Eixample,6,"la Sagrada Família",90502,Còrsega,"0629 0629",Dimecres,Dc,Laboral,2011,1,Gener,12,Matí,12,"No és causa del  vianant",Ciclomotor,Dona,Conductor,31,"Ferit lleu","4584734,61","431245,65"
"2011S000221    ",2,Eixample,10,"Sant Antoni",323203,Sepúlveda,"0127 0127",Dijous,Dj,Laboral,2011,1,Gener,13,Matí,07,"No és causa del  vianant",Turismo,Dona,Vianant,20,"Ferit lleu","4581602,40","429810,42"
"2011S000227    ",3,Sants-Montjuïc,12,"la Marina del Prat Vermell",370305,"Número 4 Zona Franca","0071 0071",Dijous,Dj,Laboral,2011,1,Gener,13,Matí,10,"No és causa del  vianant",Turismo,Home,Conductor,65,"Ferit lleu","4576068,03","427174,11"
"2011S000228    ",2,Eixample,7,"la Dreta de l'Eixample",148307,Gràcia,"0080 0080",Dijous,Dj,Laboral,2011,1,Gener,13,Matí,11,"Creuar per fora pas de vianants",Taxi,Home,Vianant,46,"Ferit lleu","4583034,48","430137,13"
"2011S000264    ",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",143904,"General Mitre",0001X0001X,Divendres,Dv,Laboral,2011,1,Gener,14,Tarda,17,"No és causa del  vianant",Motocicleta,Home,Conductor,38,"Ferit lleu","4582941,60","427386,13"
"2011S000272    ",7,Horta-Guinardó,39,"Sant Genís dels Agudells",148409,"Sant Cugat",000090000,Dissabte,Ds,Laboral,2011,1,Gener,15,Nit,01,"No és causa del  vianant",Turismo,Dona,Passatger,20,"Ferit lleu","4586356,43","427931,14"
"2011S000290    ",2,Eixample,9,"la Nova Esquerra de l'Eixample",110803,Entença,"0110 0110",Diumenge,Dg,Laboral,2011,1,Gener,16,Matí,13,"No és causa del  vianant",Turismo,Home,Conductor,55,"Ferit lleu","4581579,37","428961,02"
"2011S001354    ",10,"Sant Martí",71,"Provençals del Poblenou",144601,Diagonal,0186B0186B,Dissabte,Ds,Laboral,2011,2,Febrer,26,Tarda,14,"No és causa del  vianant",Motocicleta,Dona,Passatger,19,"Ferit lleu","4584263,02","432701,88"
"2011S001367    ",2,Eixample,7,"la Dreta de l'Eixample",169409,"Corts Catalanes","0587 0589",Dissabte,Ds,Laboral,2011,2,Febrer,26,Tarda,20,"No és causa del  vianant",Ciclomotor,Home,Conductor,16,"Ferit lleu","4582344,58","430335,90"
"2011S001377    ",2,Eixample,6,"la Sagrada Família",161407,Indústria,"0122 0122",Diumenge,Dg,Laboral,2011,2,Febrer,27,Tarda,20,"No és causa del  vianant",Furgoneta,Home,Vianant,74,"Ferit lleu","4584578,23","430926,47"
"2011S001381    ",2,Eixample,7,"la Dreta de l'Eixample",247659,"Pau Claris","0176 0176",Dilluns,Dl,Laboral,2011,2,Febrer,28,Matí,09,"No és causa del  vianant",Motocicleta,Home,Conductor,70,"Ferit lleu","4583224,50","430157,03"
