Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal_caption;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_tipus_accident;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2020S000001    ;7;Horta-Guinardó;36;la Font d'en Fargues;194406;Maragall;0353 0355;Dimecres;Dc;Laboral;2020;1;Gener;1;0;Nit;Xoc contra element estàtic;430501,45;4586751,53;2.167.115.845;4.142.747.394
2020S000002    ;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;0203 0203;Dimecres;Dc;Laboral;2020;1;Gener;1;2;Nit;Atropellament;428225,71;4580279,72;2.140.650.262;41.368.984.627
2020S000003    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;320704;Sarrià;0018 0018;Dimecres;Dc;Laboral;2020;1;Gener;1;2;Nit;Col.lisió lateral;428532,59;4582672,59;2.144.036.982;41.390.563.692
2020S000004    ;4;Les Corts;19;les Corts;101904;Doctor Fleming;0002 0002;Dimecres;Dc;Laboral;2020;1;Gener;1;6;Matí;Xoc contra element estàtic;427929,13;4582767,09;2.136.808.386;41.391.360.941
2020S000005    ;2;Eixample;7;la Dreta de l'Eixample;309406;Sant Pere;0029 0029;Dimecres;Dc;Laboral;2020;1;Gener;1;4;Nit;Atropellament;431157,87;4582598,57;2.175.443.819;41.390.126.129
2020S000006    ;3;Sants-Montjuïc;17;Sants - Badal;312400;Sants;0351 0355;Dimecres;Dc;Laboral;2020;1;Gener;1;10;Matí;Xoc contra element estàtic;427018,47;4581015,94;2.126.127.875;41.375.506.869
2020S000007    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0456 0456;Dimecres;Dc;Laboral;2020;1;Gener;1;13;Matí;Col.lisió fronto-lateral;431931,99;4587522,49;2.184.148.016;41.434.540.282
2020S000008    ;5;Sarrià-Sant Gervasi;23;Sarrià;315500;Santa Eulàlia;0023A0023A;Dimecres;Dc;Laboral;2020;1;Gener;1;14;Tarda;Caiguda interior vehicle;426049,39;4584165,47;2.114.155.762;41.403.784.796
2020S000009    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0286 0286;Dimecres;Dc;Laboral;2020;1;Gener;1;14;Tarda;Col.lisió lateral;430435,12;4582966,26;2.166.757.506;41.393.375.576
2020S000010    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria;0074 0074;Dimecres;Dc;Laboral;2020;1;Gener;1;18;Tarda;Col.lisió fronto-lateral;433207,58;4586347,25;2.199.544.435;41.424.062.416
2020S000011    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0450 0454;Dimecres;Dc;Laboral;2020;1;Gener;1;17;Tarda;Atropellament;431930,41;4587485,64;2.184.133.259;41.434.208.253
2020S000012    ;3;Sants-Montjuïc;13;la Marina de Port;169409;Corts Catalanes;0186 0186;Dimecres;Dc;Laboral;2020;1;Gener;1;21;Tarda;Col.lisió fronto-lateral;428132,8;4580116,76;2.139.558.755;41.367.508.608
2020S000013    ;7;Horta-Guinardó;43;Horta;69109;Cartellà;0175 0175;Dimecres;Dc;Laboral;2020;1;Gener;1;22;Nit;Atropellament;430312,14;4587069,31;2.164.813.758;41.430.319.654
2020S000014    ;9;Sant Andreu;61;la Sagrera;292507;Gran de la Sagrera;0087 0087;Dijous;Dj;Laboral;2020;1;Gener;2;0;Nit;Col.lisió fronto-lateral;432495,23;4586217,01;2.191.034.824;41.422.829.809
2020S000015    ;9;Sant Andreu;58;Baró de Viver;701497;B-10 (Llobregat);40000;Dijous;Dj;Laboral;2020;1;Gener;2;8;Matí;Col.lisió lateral;433346,77;4589084;2.200.907.985;41.448.723.046
2020S000016    ;7;Horta-Guinardó;37;el Carmel;325504;Sigüenza;0076 0076;Dimecres;Dc;Laboral;2020;1;Gener;1;21;Tarda;Col.lisió fronto-lateral;429316,61;4586333,62;2.152.986.021;4.142.360.655
2020S000017    ;3;Sants-Montjuïc;13;la Marina de Port;169409;Corts Catalanes;0156V0156V;Dijous;Dj;Laboral;2020;1;Gener;2;12;Matí;Col.lisió lateral;427981,21;4579963,82;2.137.764.561;41.366.117.574
2020S000018    ;5;Sarrià-Sant Gervasi;23;Sarrià;44709;Bonanova;0088 0088;Dijous;Dj;Laboral;2020;1;Gener;2;14;Tarda;Col.lisió lateral;426893,17;4583918,34;2.124.279.181;41.401.636.216
2020S000019    ;3;Sants-Montjuïc;13;la Marina de Port;135203;Foc;0085 0085;Dijous;Dj;Laboral;2020;1;Gener;2;16;Tarda;Col.lisió lateral;428358,19;4578917,18;2.142.395.215;41.356.724.483
2020S000020    ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;194406;Maragall;0334B0334B;Dijous;Dj;Laboral;2020;1;Gener;2;16;Tarda;Caiguda (dues rodes);430530,43;4586772,29;2.167.460.256;41.427.663.426
2020S000021    ;2;Eixample;9;la Nova Esquerra de l'Eixample;18505;Aragó;0041 0041;Dijous;Dj;Laboral;2020;1;Gener;2;16;Tarda;Altres;428886,09;4581486,26;2.148.404.153;4.137.991.018
2020S000022    ;1;Ciutat Vella;2;el Barri Gòtic;177101;Laietana;0059 0059;Dijous;Dj;Laboral;2020;1;Gener;2;14;Tarda;Xoc contra element estàtic;431008,75;4582322,7;2.173.691.785;41.387.628.665
