"Codi d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ causa vianant","Descripci¢ tipus de vehicle","Descripci¢ model","Descripci¢ marca","Descripci¢ color","Descripci¢ carnet","Antiguitat carnet","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S003321,9,"Sant Andreu",61,"la Sagrera",121402,"Felip II","0006 0006",Dilluns,Dl,Laboral,2013,5,Maig,6,19,Altres,Motocicleta,"SCARABEO 125",APRILIA,Platejat,A,34,"4585510,18","432563,54"
2013S000550,10,"Sant Mart¡",67,"la Vila Ol¡mpica del Poblenou",701265,"Litoral (Bes•s)",820000,Dimecres,Dc,Laboral,2013,1,Gener,23,17,"No ‚s causa del  vianant",Motocicleta,"CYGNUS 125",YAMAHA,Negre,B,18,"4582683,49","433269,63"
2013S000552,10,"Sant Mart¡",71,"Proven‡als del Poblenou",701414,C-31,20780000,Dimecres,Dc,Laboral,2013,1,Gener,23,19,"No ‚s causa del  vianant",Turismo,320,BMW,Gris,B,21,"4585460,09","433580,94"
2013S000555,3,Sants-Montju‹c,18,Sants,30602,Badal,"0112 0114",Dimecres,Dc,Laboral,2013,1,Gener,23,20,"No ‚s causa del  vianant",Motocicleta,"SH 125",HONDA,Negre,A,22,"4580521,15","427540,32"
2013S006290,1,"Ciutat Vella",2,"el Barri G•tic",86800,Comtal,"0034 0034",Dijous,Dj,Laboral,2013,9,Setembre,5,16,"No ‚s causa del  vianant",Motocicleta,SCV100,HONDA,Gris,B,7,"4582236,15","431083,18"
2013S006437,7,Horta-Guinard¢,36,"la Font d'en Fargues",194406,Maragall,"0309 0309",Dijous,Dj,Laboral,2013,9,Setembre,12,9,"No ‚s causa del  vianant",Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4586699,64","430739,93"
2013S007236,10,"Sant Mart¡",68,"el Poblenou",249304,"Pere IV","0164 0166",Divendres,Dv,Laboral,2013,10,Octubre,11,16,"No ‚s causa del  vianant",Motocicleta,PHANTEON,HONDA,Vermell,B,21,"4583904,96","432994,52"
2013S007237,4,"Les Corts",21,Pedralbes,144601,Diagonal,"0694 0696",Divendres,Dv,Laboral,2013,10,Octubre,11,18,"No ‚s causa del  vianant",Motocicleta,BONNEVILLE,TRIUMPH,Altres,A2,37,"4582083,33","425819,56"
2013S007243,7,Horta-Guinard¢,33,"el Baix Guinard¢",178308,Lepant,"0369 0369",Dissabte,Ds,Laboral,2013,10,Octubre,12,0,"No ‚s causa del  vianant",Motocicleta,"SH 125",HONDA,Negre,B,20,"4584737,08","430722,16"
2013S007375,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",170907,Jota,"0007 0007",Dijous,Dj,Laboral,2013,10,Octubre,17,14,"No ‚s causa del  vianant",Turismo,PRIUS,TOYOTA,Blanc,B,22,"4586945,65","431857,35"
