"Número d'expedient","Codi districte","Nom districte","NK barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia de setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripció torn","Descripció causa vianant","Número de morts","Número de lesionats lleus","Número de lesionats greus","Número de víctimes","Número de vehicles implicats","Coordenada UTM (Y)","Coordenada UTM (X)"
2012S005688,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",209900,Meridiana,"0203 0205",Dissabte,6,Laboral,2012,8,Agost,4,16,Tarda,Desconegut,0,1,0,1,2,"4585178,54","432022,72"
2012S005343,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0337 0337",Diumenge,7,Laboral,2012,7,Juliol,22,21,Tarda,Desconegut,0,1,0,1,2,"4585352,36","431860,84"
2012S002291,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",161407,Indústria,"0288 0288",Dijous,4,Laboral,2012,3,Març,29,15,Tarda,Desconegut,0,1,0,1,2,"4585102,28","431556,72"
2012S005379,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0356 0356",Dimarts,2,Laboral,2012,7,Juliol,24,10,Matí,"Creuar per fora pas de vianants",0,2,0,2,1,"4585266,01","431552,73"
2012S004837,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0270 0270",Dimarts,2,Laboral,2012,7,Juliol,3,14,Tarda,Desconegut,0,2,0,2,1,"4584898,92","431180,43"
2012S008982,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",161407,Indústria,"0244 0244",Dimecres,3,Laboral,2012,12,Desembre,19,15,Tarda,Desconegut,0,1,0,1,2,"4584879,97","431339,02"
2012S007170,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",105304,"Dos de Maig","0278 0278",Divendres,5,Laboral,2012,10,Octubre,12,13,Matí,Desconegut,0,1,0,1,2,"4584568,58","431355,88"
2012S004609,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",350308,València,"0607 0607",Dilluns,1,Laboral,2012,6,Juny,25,15,Tarda,Desconegut,0,1,0,1,2,"4584562,33","431951,31"
2012S003244,10,"Sant Martí",101-10-64,"el Camp de l'Arpa del Clot",217104,Muntanya,"0125 0125",Dilluns,1,Laboral,2012,5,Maig,7,08,Matí,Desconegut,0,1,0,1,2,"4584920,14","431678,80"
2012S006426,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",30409,"Bac de Roda","0161 0161",Dimecres,3,Laboral,2012,9,Setembre,12,15,Tarda,Desconegut,0,1,0,1,2,"4584836,69","432925,19"
2012S001276,10,"Sant Martí",102-10-72,"Sant Martí de Provençals",60807,Cantàbria,"0045 0045",Dimarts,2,Laboral,2012,2,Febrer,21,14,Tarda,Desconegut,0,0,0,0,2,"4585810,19","433086,89"
