Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal_caption,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2019S000001    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal / Augusta                                ,0482 0482,Dimarts,Dm,Laboral,2019,1,Gener,1,1,Nit,No és causa del  vianant,0,0,1,1,1,"429482,03","4583236,02",2.155235500887906,41.395744325388286
2019S000002    ,9,Sant Andreu,62,el Congrés i els Indians,102907,Felip II / Congrés Eucarístic                     ,9999 9999,Dimarts,Dm,Laboral,2019,1,Gener,1,4,Nit,No és causa del  vianant,0,1,0,1,2,"431582,6","4586504,13",2.1799900375572765,41.42536054141721
2019S000003    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,242906,Pallars                                           ,0111 0113,Dimarts,Dm,Laboral,2019,1,Gener,1,5,Nit,Creuar per fora pas de vianants,0,1,0,1,1,"432532,56","4583333,82",2.191711612909555,41.39688727978747
2019S000004    ,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,228803,Taxdirt / Nogués                                  ,0054 0054,Dimarts,Dm,Laboral,2019,1,Gener,1,8,Matí,No és causa del  vianant,0,1,0,1,2,"430348,14","4584674,08",2.1654291811887534,41.408771891005635
2019S000005    ,2,Eixample,7,la Dreta de l'Eixample,89004,Consell de Cent / Girona                          ,0395 0397,Dimarts,Dm,Laboral,2019,1,Gener,1,12,Matí,No és causa del  vianant,0,2,0,2,1,"430752,23","4583128,25",2.1704404950723446,41.39488422933501
2019S000006    ,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,90502,Còrsega                                           ,0461 0463,Dimarts,Dm,Laboral,2019,1,Gener,1,7,Matí,No és causa del  vianant,0,1,0,1,2,"430471,69","4583978,84",2.166987222352102,41.402520884569455
2019S000007    ,2,Eixample,7,la Dreta de l'Eixample,18505,Aragó / Balmes                                    ,0225 0225,Dimarts,Dm,Laboral,2019,1,Gener,1,13,Matí,No és causa del  vianant,0,1,0,1,6,"430023,71","4582612,51",2.1617865831937775,41.39017602884647
2019S000008    ,2,Eixample,7,la Dreta de l'Eixample,222002,Mossèn Jacint Verdaguer                           ,9999 9999,Dimarts,Dm,Laboral,2019,1,Gener,1,13,Matí,No és causa del  vianant,0,1,0,1,2,"430706,56","4583594,99",2.1698407582411785,41.399084019498055
2019S000009    ,10,Sant Martí,67,la Vila Olímpica del Poblenou,700661,Joan Miró / Doctor Trueta                         ,0025 0025,Dimarts,Dm,Laboral,2019,1,Gener,1,10,Matí,No és causa del  vianant,0,0,0,0,1,"432673,27","4582713,36",2.1934637472779257,41.39131083446776
2019S000010    ,2,Eixample,5,el Fort Pienc,9209,Lepant / Alí Bei                                  ,0130 0130,Dimarts,Dm,Laboral,2019,1,Gener,1,18,Tarda,No és causa del  vianant,0,1,0,1,2,"432039,23","4583376,8",2.185806008145173,41.39723277922404
2019S000011    ,7,Horta-Guinardó,36,la Font d'en Fargues,194406,Maragall                                          ,0287 0287,Dimarts,Dm,Laboral,2019,1,Gener,1,19,Tarda,No és causa del  vianant,0,1,0,1,2,"430869,43","4586653,04",2.171438986400508,41.42664055897249
2019S000012    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent / Comte d'Urgell                  ,0190 0192,Dimarts,Dm,Laboral,2019,1,Gener,1,13,Matí,No és causa del  vianant,0,1,0,1,2,"429573,86","4581943,29",2.1564843833049467,41.38410933764182
2019S000013    ,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,30409,Bac de Roda                                       ,0005 0005,Dimarts,Dm,Laboral,2019,1,Gener,1,21,Tarda,No és causa del  vianant,0,1,0,1,2,"434110,79","4583922,44",2.2105249148189725,41.402319849214244
2019S000014    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,223606,Muntaner / Copèrnic                               ,0433 0433,Dimecres,Dc,Laboral,2019,1,Gener,2,0,Nit,No és causa del  vianant,0,1,0,1,2,"428231,91","4583823,18",2.140213408603412,41.40092183161157
2019S000015    ,7,Horta-Guinardó,43,Horta,97807,Dante Alighieri                                   ,0028 0028,Dimecres,Dc,Laboral,2019,1,Gener,2,3,Nit,No és causa del  vianant,0,0,0,0,3,"429974,97","4586911,46",2.1607054589955177,41.42889043337292
2019S000016    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,143904,General Mitre / Prats de Molló                    ,0112 0112,Dimecres,Dc,Laboral,2019,1,Gener,2,7,Matí,No és causa del  vianant,0,1,0,1,3,"427917,34","4583866,1",2.136445500446669,41.40128020989718
2019S000017    ,4,Les Corts,20,la Maternitat i Sant Ramon,144601,Diagonal                                          ,0645 0645,Dimecres,Dc,Laboral,2019,1,Gener,2,8,Matí,No és causa del  vianant,0,1,0,1,2,"426268,3","4582116,22",2.1169334936415125,41.38537024656697
2019S000018    ,4,Les Corts,21,Pedralbes,144601,Diagonal / Albert Bastardas                       ,0712 0716,Dimecres,Dc,Laboral,2019,1,Gener,2,9,Matí,No és causa del  vianant,0,3,0,3,2,"425404,65","4581888,6",2.1066333769319554,41.38324046945794
2019S000019    ,8,Nou Barris,45,Porta,119003,Fabra i Puig                                      ,0260 0260,Dimecres,Dc,Laboral,2019,1,Gener,2,9,Matí,No és causa del  vianant,0,1,0,1,3,"431181,93","4587073,49",2.175130592910162,41.430454230833206
2019S000020    ,3,Sants-Montjuïc,16,la Bordeta,169409,Corts Catalanes                                   ,0181X0181X,Dimecres,Dc,Laboral,2019,1,Gener,2,10,Matí,No és causa del  vianant,0,1,0,1,2,"428120,05","4580176,09",2.1393086634492886,41.3680642167219
2019S000021    ,10,Sant Martí,73,la Verneda i la Pau,318906,Santander                                         ,0049 0051,Dimecres,Dc,Laboral,2019,1,Gener,2,10,Matí,No és causa del  vianant,0,2,0,2,2,"433358,66","4586671,86",2.2012244862669883,41.42702074326753
2019S000022    ,8,Nou Barris,45,Porta,256401,Pintor Alsamora / Selva                           ,0073 0073,Dimecres,Dc,Laboral,2019,1,Gener,2,10,Matí,Altres,0,1,0,1,1,"431223,83","4587728,27",2.175557399123793,41.43635512286258
2019S000023    ,3,Sants-Montjuïc,16,la Bordeta,244901,Cadena                                            ,0032X0032X,Dimecres,Dc,Laboral,2019,1,Gener,2,8,Matí,No és causa del  vianant,0,1,0,1,2,"427810,76","4580110,56",2.1356187056775475,41.36744630039471
2019S000024    ,7,Horta-Guinardó,33,el Baix Guinardó,332306,Lepant / Llorens i Barba                          ,0065 0065,Dimecres,Dc,Laboral,2019,1,Gener,2,10,Matí,No és causa del  vianant,0,2,0,2,2,"430576,53","4584874,02",2.1681384902819265,41.4105924485912
2019S000025    ,4,Les Corts,19,les Corts,231502,Numància                                          ,0072 0074,Dimecres,Dc,Laboral,2019,1,Gener,2,12,Matí,No és causa del  vianant,0,1,0,1,2,"428005,46","4582013,96",2.1377200575917867,41.38460680194247
2019S000026    ,5,Sarrià-Sant Gervasi,23,Sarrià,320908,Sarrià a Vallvidrera                              ,0091 0091,Dimecres,Dc,Laboral,2019,1,Gener,2,13,Matí,No és causa del  vianant,0,1,0,1,2,"425770,42","4584702,33",2.110661994331796,41.40861603540764
2019S000027    ,4,Les Corts,20,la Maternitat i Sant Ramon,144601,John M. Keynes / Diagonal                         ,0645 0645,Dimecres,Dc,Laboral,2019,1,Gener,2,14,Tarda,No és causa del  vianant,0,1,0,1,1,"426268,3","4582116,22",2.1169334936415125,41.38537024656697
2019S000028    ,7,Horta-Guinardó,33,el Baix Guinardó,76807,Sardenya / Sant Antoni Maria Claret               ,0400 0400,Dimecres,Dc,Laboral,2019,1,Gener,2,14,Tarda,No és causa del  vianant,0,1,0,1,2,"430603,49","4584495,32",2.1685045206384927,41.4071839977026
2019S000029    ,10,Sant Martí,72,Sant Martí de Provençals,30409,Bac de Roda / Andrade                             ,0165 0169,Dimecres,Dc,Laboral,2019,1,Gener,2,15,Tarda,No és causa del  vianant,0,1,0,1,2,"432991,08","4585071,55",2.197003353668255,41.412576762083305
2019S000030    ,10,Sant Martí,65,el Clot,350308,València / Las Navas de Tolosa                    ,0671 0671,Dimecres,Dc,Laboral,2019,1,Gener,2,13,Matí,No és causa del  vianant,0,1,0,1,2,"432385,56","4585102,34",2.1897554671319424,41.412803284092874
2019S000031    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,223606,Muntaner                                          ,0269 0269,Dimecres,Dc,Laboral,2019,1,Gener,2,13,Matí,No és causa del  vianant,0,1,0,1,2,"428810,27","4583234,52",2.147200901759421,41.39567154268932
2019S000032    ,10,Sant Martí,68,el Poblenou,270901,Llacuna / Pujades                                 ,0168 0170,Dimecres,Dc,Laboral,2019,1,Gener,2,15,Tarda,No és causa del  vianant,0,1,0,1,2,"433199,45","4583757,15",2.1996415972112895,41.400755822095824
2019S000033    ,9,Sant Andreu,60,Sant Andreu,103706,Doctor Santponç / Peronella                       ,0055 0055,Dimecres,Dc,Laboral,2019,1,Gener,2,16,Tarda,No és causa del  vianant,0,1,0,1,2,"432536,75","4587200,62",2.191329873007257,41.43171434844913
2019S000034    ,7,Horta-Guinardó,33,el Baix Guinardó,238400,Padilla / Mas Casanovas                           ,0387 0387,Dimecres,Dc,Laboral,2019,1,Gener,2,15,Tarda,No és causa del  vianant,0,1,0,1,2,"430630,34","4585022,71",2.1687651776231243,41.41193628570828
2019S000035    ,6,Gràcia,31,la Vila de Gràcia,344101,Gràcia                                            ,0117 0117,Dimecres,Dc,Laboral,2019,1,Gener,2,16,Tarda,Altres,0,1,0,1,1,"429434,51","4583655,16",2.1546182047932536,41.399515152533986
2019S000036    ,5,Sarrià-Sant Gervasi,24,les Tres Torres,143904,General Mitre                                     ,0069X0069X,Dimecres,Dc,Laboral,2019,1,Gener,2,14,Tarda,No és causa del  vianant,0,1,0,1,2,"427584,12","4583447,09",2.132509795152514,41.39747641637578
2019S000037    ,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,50803,Buenaventura Muñoz                                ,0051 0053,Dimecres,Dc,Laboral,2019,1,Gener,2,17,Tarda,No és causa del  vianant,0,1,0,1,2,"432166,42","4582989,55",2.187370794482692,41.39375572162576
