,NUMERO EXPEDIENTE,DESCRIPCION CAUSA
0,2011S006646,No hi ha causa mediata
1,2011S003333,No hi ha causa mediata
2,2011S006833,No hi ha causa mediata
3,2011S002662,No hi ha causa mediata
4,2011S008311,No hi ha causa mediata
5,2011S000334,No hi ha causa mediata
6,2011S003205,No hi ha causa mediata
7,2011S005692,No hi ha causa mediata
8,2011S005577,No hi ha causa mediata
9,2011S006482,No hi ha causa mediata
10,2011S008628,No hi ha causa mediata
11,2011S005435,No hi ha causa mediata
12,2011S008791,No hi ha causa mediata
13,2011S004218,No hi ha causa mediata
14,2011S006815,No hi ha causa mediata
15,2011S001828,No hi ha causa mediata
16,2011S007775,No hi ha causa mediata
17,2011S006967,No hi ha causa mediata
18,2011S001625,No hi ha causa mediata
19,2011S006441,No hi ha causa mediata
20,2011S007130,No hi ha causa mediata
21,2011S007033,Excés de velocitat o inadequada
22,2011S008096,No hi ha causa mediata
23,2011S001588,No hi ha causa mediata
24,2011S002088,No hi ha causa mediata
25,2011S007723,No hi ha causa mediata
26,2011S008624,No hi ha causa mediata
27,2011S004068,No hi ha causa mediata
28,2011S003311,No hi ha causa mediata
29,2011S002444,No hi ha causa mediata
30,2011S007915,No hi ha causa mediata
31,2011S007397,No hi ha causa mediata
32,2011S006920,No hi ha causa mediata
33,2011S008119,No hi ha causa mediata
34,2011S002634,No hi ha causa mediata
35,2011S001012,No hi ha causa mediata
36,2011S001252,No hi ha causa mediata
37,2011S008432,No hi ha causa mediata
38,2011S006945,No hi ha causa mediata
39,2011S007655,No hi ha causa mediata
40,2011S001526,No hi ha causa mediata
41,2011S001007,No hi ha causa mediata
42,2011S006318,No hi ha causa mediata
43,2011S005340,No hi ha causa mediata
44,2011S003275,Alcoholèmia
45,2011S002982,No hi ha causa mediata
46,2011S007826,No hi ha causa mediata
47,2011S001609,No hi ha causa mediata
48,2011S007378,No hi ha causa mediata
49,2011S001260,No hi ha causa mediata
50,2011S001100,No hi ha causa mediata
51,2011S002959,No hi ha causa mediata
52,2011S005230,No hi ha causa mediata
53,2011S007555,No hi ha causa mediata
54,2011S006206,No hi ha causa mediata
55,2011S003140,No hi ha causa mediata
56,2011S008495,No hi ha causa mediata
57,2011S007441,No hi ha causa mediata
58,2011S005866,Calçada en mal estat
59,2011S003246,No hi ha causa mediata
60,2011S006487,No hi ha causa mediata
61,2011S008338,No hi ha causa mediata
62,2011S007742,No hi ha causa mediata
63,2011S007817,Alcoholèmia
64,2011S007400,No hi ha causa mediata
65,2011S006637,Excés de velocitat o inadequada
66,2011S005110,No hi ha causa mediata
67,2011S000710,No hi ha causa mediata
68,2011S002632,No hi ha causa mediata
69,2011S000932,No hi ha causa mediata
70,2011S003551,No hi ha causa mediata
71,2011S006827,No hi ha causa mediata
72,2011S000680,No hi ha causa mediata
73,2011S006584,No hi ha causa mediata
74,2011S006127,No hi ha causa mediata
75,2011S002153,No hi ha causa mediata
76,2011S005018,No hi ha causa mediata
77,2011S008704,No hi ha causa mediata
78,2011S001354,No hi ha causa mediata
79,2011S004124,No hi ha causa mediata
80,2011S002478,No hi ha causa mediata
81,2011S004905,No hi ha causa mediata
82,2011S000601,No hi ha causa mediata
83,2011S003149,No hi ha causa mediata
84,2011S008484,No hi ha causa mediata
85,2011S003708,No hi ha causa mediata
86,2011S006806,No hi ha causa mediata
87,2011S004637,No hi ha causa mediata
88,2011S007540,No hi ha causa mediata
89,2011S008621,No hi ha causa mediata
90,2011S006375,No hi ha causa mediata
91,2011S002494,No hi ha causa mediata
92,2011S001014,No hi ha causa mediata
93,2011S001300,No hi ha causa mediata
94,2011S000017,No hi ha causa mediata
95,2011S004105,No hi ha causa mediata
96,2011S005264,No hi ha causa mediata
97,2011S007146,No hi ha causa mediata
98,2011S006296,No hi ha causa mediata
99,2011S000641,No hi ha causa mediata
100,2011S006121,No hi ha causa mediata
101,2011S008600,No hi ha causa mediata
102,2011S004791,No hi ha causa mediata
103,2011S008292,No hi ha causa mediata
104,2011S008317,No hi ha causa mediata
105,2011S002108,No hi ha causa mediata
106,2011S001190,No hi ha causa mediata
107,2011S001671,No hi ha causa mediata
108,2011S005199,No hi ha causa mediata
109,2011S000252,No hi ha causa mediata
110,2011S005445,No hi ha causa mediata
111,2011S000173,No hi ha causa mediata
112,2011S006553,No hi ha causa mediata
113,2011S001168,No hi ha causa mediata
114,2011S004506,No hi ha causa mediata
115,2011S001597,No hi ha causa mediata
116,2011S008278,No hi ha causa mediata
117,2011S002667,Alcoholèmia
118,2011S002769,No hi ha causa mediata
119,2011S006596,No hi ha causa mediata
120,2011S006197,No hi ha causa mediata
121,2011S002150,No hi ha causa mediata
122,2011S003044,No hi ha causa mediata
123,2011S007814,No hi ha causa mediata
124,2011S003903,No hi ha causa mediata
125,2011S003446,No hi ha causa mediata
126,2011S005124,No hi ha causa mediata
127,2011S005883,No hi ha causa mediata
128,2011S000274,No hi ha causa mediata
129,2011S004601,No hi ha causa mediata
130,2011S003277,No hi ha causa mediata
131,2011S004476,No hi ha causa mediata
132,2011S006207,No hi ha causa mediata
133,2011S006709,No hi ha causa mediata
134,2011S003608,No hi ha causa mediata
135,2011S006736,No hi ha causa mediata
136,2011S005573,No hi ha causa mediata
137,2011S002222,No hi ha causa mediata
138,2011S002318,No hi ha causa mediata
139,2011S007360,No hi ha causa mediata
140,2011S007319,No hi ha causa mediata
141,2011S003207,No hi ha causa mediata
142,2011S004269,No hi ha causa mediata
143,2011S000656,No hi ha causa mediata
144,2011S002171,No hi ha causa mediata
145,2011S001167,No hi ha causa mediata
146,2011S006814,No hi ha causa mediata
147,2011S005974,Alcoholèmia
148,2011S004840,No hi ha causa mediata
149,2011S000832,No hi ha causa mediata
150,2011S004481,No hi ha causa mediata
151,2011S004482,Alcoholèmia
152,2011S000325,No hi ha causa mediata
