,NUMERO EXPEDIENTE,TIPO ACCIDENTE
0,2011S007726,Abast
1,2011S000791,Col.lisió fronto-lateral
2,2011S004524,Col.lisió fronto-lateral
3,2011S002431,Abast
4,2011S007530,Atropellament
5,2011S000669,Altres
6,2011S006833,Col.lisió fronto-lateral
7,2011S000770,Col.lisió lateral
8,2011S008377,Altres
9,2011S002789,Col.lisió lateral
10,2011S003748,Col.lisió lateral
11,2011S004877,Atropellament
12,2011S000534,Col.lisió lateral
13,2011S007984,Atropellament
14,2011S000580,Col.lisió fronto-lateral
15,2011S007415,Abast
16,2011S005871,Col.lisió frontal
17,2011S001588,Caiguda (dues rodes)
18,2011S007723,Col.lisió fronto-lateral
19,2011S002495,Abast
20,2011S004439,Atropellament
21,2011S004279,Altres
22,2011S000375,Col.lisió fronto-lateral
23,2011S002073,Col.lisió lateral
24,2011S007397,Col.lisió lateral
25,2011S003004,Col.lisió lateral
26,2011S001909,Xoc contra element estàtic
27,2011S004463,Col.lisió fronto-lateral
28,2011S004584,Col.lisió lateral
29,2011S008831,Col.lisió fronto-lateral
30,2011S005379,Abast
31,2011S000175,Caiguda (dues rodes)
32,2011S003811,Abast multiple
33,2011S003524,Col.lisió fronto-lateral
34,2011S006130,Abast
35,2011S003582,Col.lisió lateral
36,2011S002064,Abast
37,2011S004170,Col.lisió fronto-lateral
38,2011S005326,Abast multiple
39,2011S003256,Atropellament
40,2011S006205,Xoc contra element estàtic
41,2011S008225,Xoc contra element estàtic
42,2011S006837,Atropellament
43,2011S007826,Col.lisió fronto-lateral
44,2011S003627,Xoc contra element estàtic
45,2011S003621,Col.lisió fronto-lateral
46,2011S006592,Abast
47,2011S006620,Abast
48,2011S008518,Col.lisió lateral
49,2011S006522,Abast
50,2011S004669,Col.lisió fronto-lateral
51,2011S000637,Caiguda (dues rodes)
52,2011S004690,Col.lisió fronto-lateral
53,2011S004072,Abast
54,2011S006233,Altres
55,2011S003189,Altres
56,2011S008687,Abast
57,2011S006575,Abast
58,2011S007246,Xoc contra element estàtic
59,2011S004990,Col.lisió fronto-lateral
60,2011S007172,Atropellament
61,2011S002276,Col.lisió fronto-lateral
62,2011S002214,Xoc contra element estàtic
63,2011S006190,Col.lisió fronto-lateral
64,2011S004549,Col.lisió fronto-lateral
65,2011S001809,Col.lisió lateral
66,2011S007729,Col.lisió lateral
67,2011S001810,Atropellament
68,2011S002574,Atropellament
69,2011S001138,Col.lisió fronto-lateral
70,2011S005137,Col.lisió lateral
71,2011S004605,Col.lisió fronto-lateral
72,2011S002374,Col.lisió lateral
73,2011S006782,Atropellament
74,2011S006586,Atropellament
75,2011S008779,Xoc contra element estàtic
76,2011S002894,Abast
77,2011S005879,Abast
78,2011S008712,Abast
79,2011S008845,Col.lisió fronto-lateral
80,2011S003559,Col.lisió fronto-lateral
81,2011S007093,Abast multiple
82,2011S002343,Col.lisió lateral
83,2011S002283,Atropellament
84,2011S005151,Col.lisió lateral
85,2011S004710,Col.lisió fronto-lateral
86,2011S005777,Xoc contra element estàtic
87,2011S001225,Caiguda (dues rodes)
88,2011S002676,Xoc contra element estàtic
89,2011S001691,Xoc contra element estàtic
