"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ tipus accident","Coordenada UTM (Y)","Coordenada UTM (X)"
2013S009145,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",209900,Meridiana,"0201 0201",Dimecres,Dc,Laboral,2013,12,Desembre,18,8,Mat°,"Caiguda (dues rodes)","4585368,61","432116,29"
2013S006244,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",346402,Trinxant,"0027 0027",Dimecres,Dc,Laboral,2013,9,Setembre,4,11,Mat°,"Col.lisi¢ frontal","4585265,29","432053,62"
2013S000511,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",346402,Trinxant,"0045 0047",Dimarts,Dm,Laboral,2013,1,Gener,22,15,Tarda,"Xoc contra element estÖtic","4585305,49","432014,19"
2013S009354,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",194406,Maragall,"0052 0054",Dimarts,Dm,Laboral,2013,12,Desembre,24,20,Tarda,"Col.lisi¢ lateral","4585434,72","431625,93"
2013S001212,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",161407,Ind£stria,"0257 0257",Dissabte,Ds,Laboral,2013,2,Febrer,16,13,Mat°,"Xoc contra element estÖtic","4585250,74","431554,85"
2013S004033,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",194406,Maragall,"0005 0005",Dilluns,Dl,Laboral,2013,6,Juny,3,17,Tarda,"Col.lisi¢ fronto-lateral","4585194,82","431644,1"
2013S009460,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",194406,Maragall,"0043 0043",Dimarts,Dm,Laboral,2013,12,Desembre,31,12,Mat°,Abast,"4585393,68","431600,89"
2013S001091,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0338 0340",Dimarts,Dm,Laboral,2013,2,Febrer,12,16,Tarda,Atropellament,"4585382,8","431557,2"
2013S008659,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",90502,Cïrsega,"0659 0659",Dilluns,Dl,Laboral,2013,12,Desembre,2,10,Mat°,"Col.lisi¢ lateral","4584892,85","431407,84"
2013S008254,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",161101,Independäncia,"0357 0357",Dilluns,Dl,Laboral,2013,11,Novembre,18,16,Tarda,Abast,"4584908,45","431479,52"
2013S003936,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",161407,Ind£stria,"0274 0274",Divendres,Dv,Laboral,2013,5,Maig,31,11,Mat°,"Caiguda interior vehicle","4585199,49","431549,59"
2013S002355,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",350308,Valäncia,"0585 0585",Dimarts,Dm,Laboral,2013,4,Abril,2,14,Tarda,Abast,"4584665,15","431943,56"
2013S007324,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0518 0518",Dimarts,Dm,Laboral,2013,10,Octubre,15,9,Mat°,"Col.lisi¢ lateral","4584558,04","431675,33"
2013S002103,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0518 0518",Dimecres,Dc,Laboral,2013,3,Mará,20,15,Tarda,Abast,"4584558,04","431675,33"
2013S006230,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",18505,Arag¢,"0527 0527",Dimarts,Dm,Laboral,2013,9,Setembre,3,18,Tarda,Abast,"4584387,45","431850,73"
2013S009280,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",18505,Arag¢,"0573 0573",Dissabte,Ds,Laboral,2013,12,Desembre,21,19,Tarda,Atropellament,"4584530,04","431997,24"
