"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ causa mediata","Coordenada UTM (Y)","Coordenada UTM (X)"
2011S006646,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",209900,Meridiana,"0197 0197",Dimarts,Dm,Laboral,2011,10,Octubre,4,11,Mat°,"No hi ha causa mediata","4585343,3","432115,94"
2011S003333,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",224802,Naci¢,"0030 0030",Dimarts,Dm,Laboral,2011,5,Maig,17,13,Mat°,"No hi ha causa mediata","4585145,1","431990,72"
2011S006833,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0352 0354",Dilluns,Dl,Laboral,2011,10,Octubre,10,19,Tarda,"No hi ha causa mediata","4585458,06","431634,78"
2011S002662,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0356 0356",Dissabte,Ds,Laboral,2011,4,Abril,16,21,Tarda,"No hi ha causa mediata","4585470,2","431646,49"
2011S008311,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",95506,Conca,"0030 0030",Dissabte,Ds,Laboral,2011,12,Desembre,10,16,Tarda,"No hi ha causa mediata","4585253,1","431538,01"
2011S000334,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",161407,Ind£stria,"0275 0277",Dimarts,Dm,Laboral,2011,1,Gener,18,12,Mat°,"No hi ha causa mediata","4585302,06","431614,01"
2011S003205,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",161407,Ind£stria,"0227 0233",Dilluns,Dl,Laboral,2011,5,Maig,9,9,Mat°,"No hi ha causa mediata","4585066,89","431385,82"
2011S005692,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",161407,Ind£stria,"0293 0293",Diumenge,Dg,Laboral,2011,8,Agost,28,17,Tarda,"No hi ha causa mediata","4585413,39","431717,4"
2011S005577,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",90502,Cïrsega,"0703 0703",Dissabte,Ds,Laboral,2011,8,Agost,20,22,Nit,"No hi ha causa mediata","4585097,59","431609,73"
2011S006482,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",368507,XifrÇ,0106U0106U,Dimecres,Dc,Laboral,2011,9,Setembre,28,14,Tarda,"No hi ha causa mediata","4584973,5","431574,71"
2011S008628,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",134801,Freser,0076U0076U,Dijous,Dj,Laboral,2011,12,Desembre,22,8,Mat°,"No hi ha causa mediata","4585001,84","431602,87"
2011S005435,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",134801,Freser,"0086 0086",Dijous,Dj,Laboral,2011,8,Agost,11,16,Tarda,"No hi ha causa mediata","4585024,93","431613,73"
2011S008791,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",350308,Valäncia,"0583 0583",Dijous,Dj,Laboral,2011,12,Desembre,29,4,Nit,"No hi ha causa mediata","4584656,77","431934,94"
2011S004218,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",268003,Provenáa,"0570 0570",Dilluns,Dl,Laboral,2011,6,Juny,20,15,Tarda,"No hi ha causa mediata","4584712,78","431652,92"
2011S006815,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",350308,Valäncia,"0563 0563",Dilluns,Dl,Laboral,2011,10,Octubre,10,13,Mat°,"No hi ha causa mediata","4584545,45","431816,61"
2011S001828,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",350308,Valäncia,"0563 0563",Divendres,Dv,Laboral,2011,3,Mará,18,9,Mat°,"No hi ha causa mediata","4584545,45","431816,61"
2011S007775,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",350308,Valäncia,"0556 0556",Dijous,Dj,Laboral,2011,11,Novembre,17,21,Tarda,"No hi ha causa mediata","4584489,3","431794,83"
2011S006967,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",286300,Rogent,"0001 0001",Dissabte,Ds,Laboral,2011,10,Octubre,15,20,Tarda,"No hi ha causa mediata","4584637,51","432097,42"
2011S001625,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0580 0580",Dijous,Dj,Laboral,2011,3,Mará,10,9,Mat°,"No hi ha causa mediata","4584810,5","431930,44"
2011S006441,10,"Sant Mart°",65,"el Clot",18505,Arag¢,"0580 0580",Dimarts,Dm,Laboral,2011,9,Setembre,27,14,Tarda,"No hi ha causa mediata","4584555,67","432060,89"
2011S007130,10,"Sant Mart°",65,"el Clot",81603,Clot,"0033 0033",Divendres,Dv,Laboral,2011,10,Octubre,21,17,Tarda,"No hi ha causa mediata","4584478,92","432206,17"
2011S007033,10,"Sant Mart°",65,"el Clot",209900,Meridiana,"0103 0103",Dimarts,Dm,Laboral,2011,10,Octubre,18,22,Nit,"ExcÇs de velocitat o inadequada","4584523,37","432105,14"
2011S008096,10,"Sant Mart°",65,"el Clot",161101,Independäncia,"0250 0250",Dijous,Dj,Laboral,2011,12,Desembre,1,6,Mat°,"No hi ha causa mediata","4584453,64","431960,1"
2011S001588,10,"Sant Mart°",65,"el Clot",146902,"Glïries Catalanes","0019 0019",Dimarts,Dm,Laboral,2011,3,Mará,8,20,Tarda,"No hi ha causa mediata","4584181,5","432172,41"
2011S002088,10,"Sant Mart°",65,"el Clot",169409,"Corts Catalanes","0823 0823",Divendres,Dv,Laboral,2011,3,Mará,25,15,Tarda,"No hi ha causa mediata","4584197,87","432229,7"
2011S007723,10,"Sant Mart°",72,"Sant Mart° de Provenáals",158504,Huelva,"0032 0034",Dimarts,Dm,Laboral,2011,11,Novembre,15,22,Nit,"No hi ha causa mediata","4585404,02","432727,65"
2011S008624,10,"Sant Mart°",72,"Sant Mart° de Provenáals",30409,"Bac de Roda","0201 0201",Dijous,Dj,Laboral,2011,12,Desembre,22,0,Nit,"No hi ha causa mediata","4585306,82","432754,98"
2011S004068,10,"Sant Mart°",72,"Sant Mart° de Provenáals",158504,Huelva,"0063 0065",Dimarts,Dm,Laboral,2011,6,Juny,14,15,Tarda,"No hi ha causa mediata","4585620,33","432917,15"
2011S003311,10,"Sant Mart°",72,"Sant Mart° de Provenáals",115603,Espronceda,"0234 0234",Dilluns,Dl,Laboral,2011,5,Maig,16,18,Tarda,"No hi ha causa mediata","4585044,47","432863,88"
2011S002444,10,"Sant Mart°",72,"Sant Mart° de Provenáals",3406,Agricultura,"0304 0304",Dissabte,Ds,Laboral,2011,4,Abril,9,13,Mat°,"No hi ha causa mediata","4585942,11","433110,24"
2011S007915,10,"Sant Mart°",72,"Sant Mart° de Provenáals",104200,"Doctor Zamenhof","0013 0013",Dimecres,Dc,Laboral,2011,11,Novembre,23,17,Tarda,"No hi ha causa mediata","4585514,34","432844,22"
2011S007397,10,"Sant Mart°",65,"el Clot",209900,Meridiana,0091B0091B,Dijous,Dj,Laboral,2011,11,Novembre,3,9,Mat°,"No hi ha causa mediata","4584382,45","432104,13"
2011S006920,10,"Sant Mart°",65,"el Clot",18505,Arag¢,"0560 0560",Divendres,Dv,Laboral,2011,10,Octubre,14,9,Mat°,"No hi ha causa mediata","4584467,51","431964,93"
2011S008119,10,"Sant Mart°",65,"el Clot",115603,Espronceda,"0287 0291",Dijous,Dj,Laboral,2011,12,Desembre,1,13,Mat°,"No hi ha causa mediata","4585214,2","432663,12"
2011S002634,10,"Sant Mart°",65,"el Clot",153205,Guip£scoa,"0005 0007",Divendres,Dv,Laboral,2011,4,Abril,15,22,Nit,"No hi ha causa mediata","4585157,8","432621,66"
2011S001012,10,"Sant Mart°",65,"el Clot",42306,Bilbao,0214U0214U,Dilluns,Dl,Laboral,2011,2,Febrer,14,12,Mat°,"No hi ha causa mediata","4584966,61","432563,85"
2011S001252,10,"Sant Mart°",65,"el Clot",153205,Guip£scoa,"0016 0016",Dimarts,Dm,Laboral,2011,2,Febrer,22,21,Tarda,"No hi ha causa mediata","4585166,49","432690,49"
2011S008432,10,"Sant Mart°",65,"el Clot",350308,Valäncia,"0676 0678",Dijous,Dj,Laboral,2011,12,Desembre,15,18,Tarda,"No hi ha causa mediata","4585062,88","432380,82"
2011S006945,10,"Sant Mart°",65,"el Clot",180401,"Lope de Vega","0290 0298",Divendres,Dv,Laboral,2011,10,Octubre,14,18,Tarda,"No hi ha causa mediata","4585067,53","432653,4"
2011S007655,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0599 0599",Diumenge,Dg,Laboral,2011,11,Novembre,13,13,Mat°,"No hi ha causa mediata","4584972,8","432064,5"
2011S001526,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",209900,Meridiana,"0139 0139",Dissabte,Ds,Laboral,2011,3,Mará,5,2,Nit,"No hi ha causa mediata","4584830,37","432108,08"
2011S001007,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",286300,Rogent,"0002 0002",Dilluns,Dl,Laboral,2011,2,Febrer,14,7,Mat°,"No hi ha causa mediata","4584650,8","432099,6"
2011S006318,10,"Sant Mart°",70,"el Besïs i el Maresme",8705,"Alfons el MagnÖnim","0008 0008",Dijous,Dj,Laboral,2011,9,Setembre,22,20,Tarda,"No hi ha causa mediata","4585282,29","434685,66"
2011S005340,10,"Sant Mart°",70,"el Besïs i el Maresme",266405,Prim,"0022 0022",Dissabte,Ds,Laboral,2011,8,Agost,6,12,Mat°,"No hi ha causa mediata","4585187,55","434623,12"
2011S003275,10,"Sant Mart°",73,"la Verneda i la Pau",266405,Prim,"0198 0198",Diumenge,Dg,Laboral,2011,5,Maig,15,4,Nit,Alcoholämia,"4586184,13","433651,4"
2011S002982,10,"Sant Mart°",73,"la Verneda i la Pau",266405,Prim,"0166 0166",Dimarts,Dm,Laboral,2011,5,Maig,3,19,Tarda,"No hi ha causa mediata","4585983,99","433845,7"
2011S007826,10,"Sant Mart°",73,"la Verneda i la Pau",15201,Andrade,"0220 0220",Dissabte,Ds,Laboral,2011,11,Novembre,19,15,Tarda,"No hi ha causa mediata","4585737,92","433644,95"
2011S001609,10,"Sant Mart°",73,"la Verneda i la Pau",15201,Andrade,"0222 0222",Dimecres,Dc,Laboral,2011,3,Mará,9,14,Tarda,"No hi ha causa mediata","4585761,24","433668,38"
2011S007378,10,"Sant Mart°",73,"la Verneda i la Pau",142901,Gelida,"0002 0002",Dimecres,Dc,Laboral,2011,11,Novembre,2,12,Mat°,"No hi ha causa mediata","4585782,86","433696,83"
2011S001260,10,"Sant Mart°",72,"Sant Mart° de Provenáals",153205,Guip£scoa,0096B0096B,Dimecres,Dc,Laboral,2011,2,Febrer,23,8,Mat°,"No hi ha causa mediata","4585765,46","433303,26"
2011S001100,10,"Sant Mart°",73,"la Verneda i la Pau",266405,Prim,"0135 0137",Dijous,Dj,Laboral,2011,2,Febrer,17,14,Tarda,"No hi ha causa mediata","4585935,39",433807
2011S002959,10,"Sant Mart°",73,"la Verneda i la Pau",318906,Santander,0034X0034X,Dilluns,Dl,Laboral,2011,5,Maig,2,18,Tarda,"No hi ha causa mediata","4586590,87","433345,31"
2011S005230,10,"Sant Mart°",73,"la Verneda i la Pau",60807,CantÖbria,"0080 0080",Dilluns,Dl,Laboral,2011,8,Agost,1,20,Tarda,"No hi ha causa mediata","4586412,15","433245,27"
