"Número d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripció dia setmana","Dia setmana","Descripció tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Descripció torn","Hora de dia","Descripció causa vianant","Desc. Tipus vehicle implicat","Descripció sexe","Descripció tipus persona",Edat,"Descripció victimització","Coordenada UTM (Y)","Coordenada UTM (X)"
"2013S000529    ",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",28000,Augusta,"0061 0061",Dimecres,Dc,Laboral,2013,1,Gener,23,Nit,00,"No és causa del  vianant",Turismo,Home,Conductor,32,"Ferit lleu","4583707,15","429170,30"
"2013S000535    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0329 0329",Dimecres,Dc,Laboral,2013,1,Gener,23,Matí,07,"No és causa del  vianant",Ciclomotor,Home,Conductor,39,"Ferit lleu","4585527,16","431983,63"
"2013S000072    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",109101,Enamorats,"0152 0152",Divendres,Dv,Laboral,2013,1,Gener,4,Tarda,17,"No és causa del  vianant",Tractocamión,Dona,Vianant,80,"Ferit lleu","4584645,89","431991,79"
"2013S000074    ",2,Eixample,7,"la Dreta de l'Eixample",350308,València,"0369 0369",Divendres,Dv,Laboral,2013,1,Gener,4,Tarda,18,"No és causa del  vianant",Turismo,Dona,Conductor,23,"Ferit lleu","4583597,13","430849,53"
"2013S000075    ",7,Horta-Guinardó,33,"el Baix Guinardó",178308,Lepant,"0369 0369",Divendres,Dv,Laboral,2013,1,Gener,4,Tarda,16,"No és causa del  vianant",Turismo,Dona,Conductor,36,"Ferit lleu","4584737,08","430722,16"
"2013S000077    ",9,"Sant Andreu",63,Navas,152600,Guinardó,"0019 0019",Divendres,Dv,Laboral,2013,1,Gener,4,Tarda,18,"No és causa del  vianant",Motocicleta,Home,Conductor,27,"Ferit lleu","4585521,49","431659,51"
"2013S000085    ",4,"Les Corts",20,"la Maternitat i Sant Ramon",144601,Diagonal,"0623 0627",Dissabte,Ds,Laboral,2013,1,Gener,5,Matí,13,"No és causa del  vianant",Turismo,Home,Conductor,34,"Ferit lleu","4582352,14","427027,10"
"2013S000101    ",3,Sants-Montjuïc,18,Sants,293000,Sagunt,"0093 0093",Diumenge,Dg,Laboral,2013,1,Gener,6,Tarda,18,"No és causa del  vianant",Motocicleta,Home,Conductor,35,"Ferit lleu","4580661,78","427792,15"
"2013S000110    ",3,Sants-Montjuïc,12,"la Marina del Prat Vermell",701480,"Longitudinal 8","0015 0015",Dilluns,Dl,Laboral,2013,1,Gener,7,Matí,09,"No és causa del  vianant",Furgoneta,Home,Conductor,38,"Ferit lleu","4576250,31","425905,38"
"2013S000121    ",10,"Sant Martí",70,"el Besòs i el Maresme",701414,C-31,020840000,Dilluns,Dl,Laboral,2013,1,Gener,7,Matí,12,"No és causa del  vianant",Turismo,Home,Conductor,29,"Ferit lleu","4585877,10","434007,45"
"2013S000124    ",2,Eixample,8,"l'Antiga Esquerra de l'Eixample",32700,Balmes,"0081 0081",Dilluns,Dl,Laboral,2013,1,Gener,7,Tarda,14,"No és causa del  vianant",Motocicleta,Home,Conductor,37,"Ferit lleu","4582695,99","429896,73"
"2013S000140    ",3,Sants-Montjuïc,15,Hostafrancs,114000,Espanya,"0005 0005",Dilluns,Dl,Laboral,2013,1,Gener,7,Nit,22,"No és causa del  vianant",Ciclomotor,Dona,Conductor,26,"Ferit lleu","4580937,40","428856,34"
