"N£mero d'expedient","Codi districte","Nom districte","Codi barri","Nom barri","Codi carrer","Nom carrer","Num postal caption","Descripci¢ dia setmana","Dia setmana","Descripci¢ tipus dia","NK Any","Mes de any","Nom mes","Dia de mes","Hora de dia","Descripci¢ torn","Descripci¢ tipus accident","Coordenada UTM (Y)","Coordenada UTM (X)"
2012S005688,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",209900,Meridiana,"0203 0205",Dissabte,Ds,Laboral,2012,8,Agost,4,16,Tarda,"Col.lisi¢ fronto-lateral","4585382,72","432116,48"
2012S002763,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",194406,Maragall,"0045 0045",Dimecres,Dc,Laboral,2012,4,Abril,18,15,Tarda,"Col.lisi¢ lateral","4585404,32","431598,8"
2012S007349,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",367402,Volart,"0001 0001",Dissabte,Ds,Laboral,2012,10,Octubre,20,9,Mat°,Abast,"4585406,24","431594,76"
2012S003847,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",161407,Ind£stria,"0213 0213",Dimarts,Dm,Laboral,2012,5,Maig,29,12,Mat°,"Abast multiple","4585002,66","431325,76"
2012S009254,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",134801,Freser,"0064 0064",Dilluns,Dl,Laboral,2012,12,Desembre,31,9,Mat°,"Col.lisi¢ fronto-lateral","4584964,87","431585,78"
2012S000046,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",289105,Rossell¢,"0555 0555",Dimarts,Dm,Laboral,2012,1,Gener,3,13,Mat°,"Caiguda (dues rodes)","4584895,32","431616,88"
2012S000746,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",268003,Provenáa,"0598 0598",Dimecres,Dc,Laboral,2012,2,Febrer,1,12,Mat°,"Xoc contra element estÖtic","4584843,57","431794,53"
2012S006222,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0518 0518",Dilluns,Dl,Laboral,2012,9,Setembre,3,15,Tarda,"Col.lisi¢ lateral","4584558,04","431675,33"
2012S004425,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",191204,Mallorca,"0518 0518",Dimarts,Dm,Laboral,2012,6,Juny,19,12,Mat°,"Col.lisi¢ lateral","4584558,04","431675,33"
2012S003295,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",350308,Valäncia,"0563 0563",Dimecres,Dc,Laboral,2012,5,Maig,9,12,Mat°,"Col.lisi¢ lateral","4584545,45","431816,61"
2012S009046,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",286300,Rogent,"0001 0001",Divendres,Dv,Laboral,2012,12,Desembre,21,14,Tarda,"Col.lisi¢ lateral","4584637,51","432097,42"
2012S006092,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",18505,Arag¢,"0607 0607",Dimarts,Dm,Laboral,2012,8,Agost,28,8,Mat°,"Col.lisi¢ lateral","4584629,17","432098,83"
2012S003516,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",18505,Arag¢,"0607 0607",Dimecres,Dc,Laboral,2012,5,Maig,16,18,Tarda,"Col.lisi¢ fronto-lateral","4584629,17","432098,83"
2012S005656,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",98209,"DegÖ Bah°","0047 0053",Divendres,Dv,Laboral,2012,8,Agost,3,1,Nit,"Xoc contra element estÖtic","4585003,93","431931,19"
2012S004302,10,"Sant Mart°",65,"el Clot",89004,"Consell de Cent","0623 0629",Dijous,Dj,Laboral,2012,6,Juny,14,17,Tarda,Abast,"4584425,42","432081,14"
2012S000371,10,"Sant Mart°",65,"el Clot",89004,"Consell de Cent","0631 0631",Dimarts,Dm,Laboral,2012,1,Gener,17,20,Tarda,"Col.lisi¢ lateral","4584443,28","432099,2"
2012S005350,10,"Sant Mart°",65,"el Clot",89004,"Consell de Cent","0597 0597",Dilluns,Dl,Laboral,2012,7,Juliol,23,9,Mat°,"Caiguda (dues rodes)","4584298,16","431950,29"
2012S003272,10,"Sant Mart°",65,"el Clot",89004,"Consell de Cent","0597 0597",Dimarts,Dm,Laboral,2012,5,Maig,8,17,Tarda,"Caiguda (dues rodes)","4584298,16","431950,29"
2012S003272,10,"Sant Mart°",65,"el Clot",89004,"Consell de Cent","0597 0597",Dimarts,Dm,Laboral,2012,5,Maig,8,17,Tarda,Abast,"4584298,16","431950,29"
2012S005277,10,"Sant Mart°",65,"el Clot",146902,"Glïries Catalanes","0019 0019",Dijous,Dj,Laboral,2012,7,Juliol,19,17,Tarda,"Col.lisi¢ lateral","4584181,5","432172,41"
2012S005218,10,"Sant Mart°",65,"el Clot",169409,"Corts Catalanes","0823 0823",Dimarts,Dm,Laboral,2012,7,Juliol,17,15,Tarda,Abast,"4584197,87","432229,7"
2012S001691,10,"Sant Mart°",65,"el Clot",209900,Meridiana,"0080 0080",Dimecres,Dc,Laboral,2012,3,Mará,7,23,Nit,"Col.lisi¢ lateral","4584292,69","432154,54"
2012S002926,10,"Sant Mart°",72,"Sant Mart° de Provenáals",107503,"Eduard Torroja","0021 0023",Dimarts,Dm,Laboral,2012,4,Abril,24,16,Tarda,"Col.lisi¢ fronto-lateral","4585439,4","433218,48"
2012S000889,10,"Sant Mart°",72,"Sant Mart° de Provenáals",158504,Huelva,"0032 0034",Dilluns,Dl,Laboral,2012,2,Febrer,6,22,Nit,"Col.lisi¢ lateral","4585404,02","432727,65"
2012S007542,10,"Sant Mart°",72,"Sant Mart° de Provenáals",15201,Andrade,"0084 0086",Dissabte,Ds,Laboral,2012,10,Octubre,27,13,Mat°,"Col.lisi¢ frontal","4585158,95","433051,64"
2012S006725,10,"Sant Mart°",65,"el Clot",18505,Arag¢,"0538 0538",Dimecres,Dc,Laboral,2012,9,Setembre,26,6,Mat°,"Col.lisi¢ lateral","4584367,22","431862,51"
2012S002406,10,"Sant Mart°",65,"el Clot",18505,Arag¢,"0538 0538",Dilluns,Dl,Laboral,2012,4,Abril,2,14,Tarda,"Caiguda (dues rodes)","4584367,22","431862,51"
2012S000445,10,"Sant Mart°",65,"el Clot",92701,Corunya,"0008 0008",Divendres,Dv,Laboral,2012,1,Gener,20,14,Tarda,"Col.lisi¢ lateral","4584547,74","432060,8"
2012S003851,10,"Sant Mart°",65,"el Clot",350308,Valäncia,"0671 0671",Dimarts,Dm,Laboral,2012,5,Maig,29,14,Tarda,"Col.lisi¢ fronto-lateral","4585102,37","432385,75"
2012S001233,10,"Sant Mart°",65,"el Clot",191204,Mallorca,"0623 0623",Diumenge,Dg,Laboral,2012,2,Febrer,19,6,Mat°,Abast,"4585139,85","432237,35"
2012S001700,10,"Sant Mart°",65,"el Clot",209900,Meridiana,"0188 0188",Dijous,Dj,Laboral,2012,3,Mará,8,11,Mat°,Abast,"4585113,98","432163,61"
2012S002091,10,"Sant Mart°",65,"el Clot",209900,Meridiana,"0190 0192",Dimecres,Dc,Laboral,2012,3,Mará,21,19,Tarda,Abast,"4585132,63","432163,69"
2012S006231,10,"Sant Mart°",65,"el Clot",346402,Trinxant,"0010 0012",Dilluns,Dl,Laboral,2012,9,Setembre,3,22,Nit,Abast,"4585179,51","432169,3"
2012S001255,10,"Sant Mart°",65,"el Clot",81603,Clot,"0165 0165",Dilluns,Dl,Laboral,2012,2,Febrer,20,18,Tarda,"Xoc contra element estÖtic","4585136,41","432399,82"
2012S003508,10,"Sant Mart°",65,"el Clot",191204,Mallorca,"0656 0656",Dimecres,Dc,Laboral,2012,5,Maig,16,12,Mat°,"Col.lisi¢ fronto-lateral","4585211,1","432341,84"
2012S001720,10,"Sant Mart°",65,"el Clot",305507,"Sant Joan de Malta","0011 0011",Dijous,Dj,Laboral,2012,3,Mará,8,18,Tarda,"Xoc contra element estÖtic","4584775,35","432499,23"
2012S002252,10,"Sant Mart°",65,"el Clot",42306,Bilbao,"0235 0235",Dimecres,Dc,Laboral,2012,3,Mará,28,10,Mat°,Abast,"4584935,78","432561,88"
2012S007826,10,"Sant Mart°",65,"el Clot",169409,"Corts Catalanes","0859 0859",Dijous,Dj,Laboral,2012,11,Novembre,8,8,Mat°,"Col.lisi¢ lateral","4584477,06","432515,37"
2012S008018,10,"Sant Mart°",64,"el Camp de l'Arpa del Clot",209900,Meridiana,0119B0119B,Dijous,Dj,Laboral,2012,11,Novembre,15,12,Mat°,Abast,"4584655,85","432106,39"
