"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_vianant","Descripcio_tipus_vehicle","Descripcio_model","Descripcio_marca","Descripcio_color","Descripcio_carnet","Antiguitat_carnet","Coordenada_UTM_X","Coordenada_UTM_Y","Latitud","Longitud"
"2020S000001    ",7,"Horta-Guinardó",36,"la Font d'en Fargues",194406,"Maragall","0353 0355","Dimecres","Dc","Laboral",2020,1,"Gener",1,0,"Nit","No és causa del  vianant","Turisme","C4 CACTUS BLUEHDI 100","CITROEN","Desconegut","B",4,"430501.45","4586751.53","41.42747394","2.16711584"
"2020S000002    ",3,"Sants-Montjuïc",16,"la Bordeta",169409,"Corts Catalanes","0203 0203","Dimecres","Dc","Laboral",2020,1,"Gener",1,2,"Nit","Desobeir el senyal del semàfor","Taxi","V 220 D","MERCEDES-BENZ","Negre/Groc","B",11,"428225.71","4580279.72","41.368984627","2.14065026"
"2020S000003    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",320704,"Sarrià","0018 0018","Dimecres","Dc","Laboral",2020,1,"Gener",1,2,"Nit","No és causa del  vianant","Motocicleta","YP250R","YAMAHA","Negre","A",24,"428532.59","4582672.59","41.390563692","2.14403698"
"2020S000003    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",320704,"Sarrià","0018 0018","Dimecres","Dc","Laboral",2020,1,"Gener",1,2,"Nit","No és causa del  vianant","Turisme","LODGY","DACIA","Negre/Groc","B",9,"428532.59","4582672.59","41.390563692","2.14403698"
"2020S000004    ",4,"Les Corts",19,"les Corts",101904,"Doctor Fleming","0002 0002","Dimecres","Dc","Laboral",2020,1,"Gener",1,6,"Matí","No és causa del  vianant","Turisme","LEON","SEAT","Gris","B",4,"427929.13","4582767.09","41.391360941","2.13680838"
"2020S000004    ",4,"Les Corts",19,"les Corts",101904,"Doctor Fleming","0002 0002","Dimecres","Dc","Laboral",2020,1,"Gener",1,6,"Matí","No és causa del  vianant","Taxi","TOLEDO ECOMOTIVE","SEAT","Negre/Groc","B",19,"427929.13","4582767.09","41.391360941","2.13680838"
"2020S000005    ",2,"Eixample",7,"la Dreta de l'Eixample",309406,"Sant Pere","0029 0029","Dimecres","Dc","Laboral",2020,1,"Gener",1,4,"Nit","Altres","Ciclomotor","Desconegut","Desconegut","Desconegut","Desconegut","Desconegut","431157.87","4582598.57","41.390126129","2.17544381"
"2020S000006    ",3,"Sants-Montjuïc",17,"Sants - Badal",312400,"Sants","0351 0355","Dimecres","Dc","Laboral",2020,1,"Gener",1,10,"Matí","No és causa del  vianant","Turisme","XSARA 16I EXCL 5P","CITROEN","Gris","Desconegut","Desconegut","427018.47","4581015.94","41.375506869","2.12612787"
"2020S000007    ",9,"Sant Andreu",60,"Sant Andreu",209900,"Meridiana","0456 0456","Dimecres","Dc","Laboral",2020,1,"Gener",1,13,"Matí","No és causa del  vianant","Motocicleta","TWEET 125","PEUGEOT","Desconegut","B","Desconegut","431931.99","4587522.49","41.434540282","2.18414801"
"2020S000007    ",9,"Sant Andreu",60,"Sant Andreu",209900,"Meridiana","0456 0456","Dimecres","Dc","Laboral",2020,1,"Gener",1,13,"Matí","No és causa del  vianant","Turisme","XSARA 19TD IMAGE","CITROEN","Verd","B",50,"431931.99","4587522.49","41.434540282","2.18414801"
