,Year,Area,Turn_num,Candidate_num,Position,Votes_num
0,2018,AC,1,12,PRESIDENTE,21809
1,2018,AC,1,13,PRESIDENTE,78170
2,2018,AC,1,15,PRESIDENTE,6458
3,2018,AC,1,16,PRESIDENTE,80
4,2018,AC,1,17,PRESIDENTE,262508
5,2018,AC,1,18,PRESIDENTE,10557
6,2018,AC,1,19,PRESIDENTE,1531
7,2018,AC,1,27,PRESIDENTE,241
8,2018,AC,1,30,PRESIDENTE,1990
9,2018,AC,1,45,PRESIDENTE,33115
10,2018,AC,1,50,PRESIDENTE,1642
11,2018,AC,1,51,PRESIDENTE,3564
12,2018,AC,1,54,PRESIDENTE,113
13,2018,AC,1,95,PRESIDENTE,5499
14,2018,AC,1,96,PRESIDENTE,16357
15,2018,AC,2,13,PRESIDENTE,86977
16,2018,AC,2,17,PRESIDENTE,294899
17,2018,AC,2,95,PRESIDENTE,6594
18,2018,AC,2,96,PRESIDENTE,10659
19,2018,AL,1,12,PRESIDENTE,155457
20,2018,AL,1,13,PRESIDENTE,687247
21,2018,AL,1,15,PRESIDENTE,43895
22,2018,AL,1,16,PRESIDENTE,744
23,2018,AL,1,17,PRESIDENTE,528355
24,2018,AL,1,18,PRESIDENTE,15843
25,2018,AL,1,19,PRESIDENTE,5128
26,2018,AL,1,27,PRESIDENTE,410
27,2018,AL,1,30,PRESIDENTE,11697
28,2018,AL,1,45,PRESIDENTE,58580
29,2018,AL,1,50,PRESIDENTE,8863
30,2018,AL,1,51,PRESIDENTE,19106
31,2018,AL,1,54,PRESIDENTE,421
32,2018,AL,1,95,PRESIDENTE,46692
33,2018,AL,1,96,PRESIDENTE,111065
34,2018,AL,2,13,PRESIDENTE,912034
35,2018,AL,2,17,PRESIDENTE,610093
36,2018,AL,2,95,PRESIDENTE,25919
37,2018,AL,2,96,PRESIDENTE,96413
38,2018,AM,1,12,PRESIDENTE,138997
39,2018,AM,1,13,PRESIDENTE,746998
40,2018,AM,1,15,PRESIDENTE,23420
41,2018,AM,1,16,PRESIDENTE,835
42,2018,AM,1,17,PRESIDENTE,805902
43,2018,AM,1,18,PRESIDENTE,29196
44,2018,AM,1,19,PRESIDENTE,8589
45,2018,AM,1,27,PRESIDENTE,1091
46,2018,AM,1,30,PRESIDENTE,26888
47,2018,AM,1,45,PRESIDENTE,29190
48,2018,AM,1,50,PRESIDENTE,11090
49,2018,AM,1,51,PRESIDENTE,31107
50,2018,AM,1,54,PRESIDENTE,288
51,2018,AM,1,95,PRESIDENTE,29010
52,2018,AM,1,96,PRESIDENTE,76277
53,2018,AM,2,13,PRESIDENTE,875845
54,2018,AM,2,17,PRESIDENTE,885401
55,2018,AM,2,95,PRESIDENTE,29353
56,2018,AM,2,96,PRESIDENTE,118680
57,2018,AP,1,12,PRESIDENTE,50553
58,2018,AP,1,13,PRESIDENTE,134287
59,2018,AP,1,15,PRESIDENTE,5611
60,2018,AP,1,16,PRESIDENTE,560
61,2018,AP,1,17,PRESIDENTE,166935
62,2018,AP,1,18,PRESIDENTE,9008
63,2018,AP,1,19,PRESIDENTE,1435
64,2018,AP,1,27,PRESIDENTE,247
65,2018,AP,1,30,PRESIDENTE,7490
66,2018,AP,1,45,PRESIDENTE,19241
67,2018,AP,1,50,PRESIDENTE,5432
68,2018,AP,1,51,PRESIDENTE,8882
69,2018,AP,1,54,PRESIDENTE,76
70,2018,AP,1,95,PRESIDENTE,4739
71,2018,AP,1,96,PRESIDENTE,12124
72,2018,AP,2,13,PRESIDENTE,183616
73,2018,AP,2,17,PRESIDENTE,185096
74,2018,AP,2,95,PRESIDENTE,6589
75,2018,AP,2,96,PRESIDENTE,19638
76,2018,BA,1,12,PRESIDENTE,693273
77,2018,BA,1,13,PRESIDENTE,4441955
78,2018,BA,1,15,PRESIDENTE,33109
79,2018,BA,1,16,PRESIDENTE,2240
80,2018,BA,1,17,PRESIDENTE,1725140
81,2018,BA,1,18,PRESIDENTE,61481
82,2018,BA,1,19,PRESIDENTE,20838
83,2018,BA,1,27,PRESIDENTE,2087
84,2018,BA,1,30,PRESIDENTE,43800
85,2018,BA,1,45,PRESIDENTE,172900
86,2018,BA,1,50,PRESIDENTE,31499
87,2018,BA,1,51,PRESIDENTE,138234
88,2018,BA,1,54,PRESIDENTE,1989
89,2018,BA,1,95,PRESIDENTE,169806
90,2018,BA,1,96,PRESIDENTE,697750
91,2018,BA,1,97,PRESIDENTE,746
92,2018,BA,2,13,PRESIDENTE,5484901
93,2018,BA,2,17,PRESIDENTE,2060382
94,2018,BA,2,95,PRESIDENTE,107203
95,2018,BA,2,96,PRESIDENTE,547841
96,2018,CE,1,12,PRESIDENTE,1998597
97,2018,CE,1,13,PRESIDENTE,1616492
98,2018,CE,1,15,PRESIDENTE,27902
99,2018,CE,1,16,PRESIDENTE,1563
100,2018,CE,1,17,PRESIDENTE,1061075
101,2018,CE,1,18,PRESIDENTE,18071
102,2018,CE,1,19,PRESIDENTE,8142
103,2018,CE,1,27,PRESIDENTE,1261
104,2018,CE,1,30,PRESIDENTE,23198
105,2018,CE,1,45,PRESIDENTE,53157
106,2018,CE,1,50,PRESIDENTE,15103
107,2018,CE,1,51,PRESIDENTE,54786
108,2018,CE,1,54,PRESIDENTE,808
109,2018,CE,1,95,PRESIDENTE,111881
110,2018,CE,1,96,PRESIDENTE,252676
111,2018,CE,2,13,PRESIDENTE,3407526
112,2018,CE,2,17,PRESIDENTE,1384591
113,2018,CE,2,95,PRESIDENTE,78178
114,2018,CE,2,96,PRESIDENTE,288048
115,2018,DF,1,12,PRESIDENTE,266272
116,2018,DF,1,13,PRESIDENTE,190508
117,2018,DF,1,15,PRESIDENTE,26939
118,2018,DF,1,16,PRESIDENTE,908
119,2018,DF,1,17,PRESIDENTE,936494
120,2018,DF,1,18,PRESIDENTE,32115
121,2018,DF,1,19,PRESIDENTE,11138
122,2018,DF,1,27,PRESIDENTE,822
123,2018,DF,1,30,PRESIDENTE,44879
124,2018,DF,1,45,PRESIDENTE,53640
125,2018,DF,1,50,PRESIDENTE,13177
126,2018,DF,1,51,PRESIDENTE,26925
127,2018,DF,1,54,PRESIDENTE,700
128,2018,DF,1,95,PRESIDENTE,31995
129,2018,DF,1,96,PRESIDENTE,59212
130,2018,DF,2,13,PRESIDENTE,463340
131,2018,DF,2,17,PRESIDENTE,1080411
132,2018,DF,2,95,PRESIDENTE,44657
133,2018,DF,2,96,PRESIDENTE,102988
134,2018,ES,1,12,PRESIDENTE,195553
135,2018,ES,1,13,PRESIDENTE,495868
136,2018,ES,1,15,PRESIDENTE,22232
137,2018,ES,1,16,PRESIDENTE,711
138,2018,ES,1,17,PRESIDENTE,1122131
139,2018,ES,1,18,PRESIDENTE,26529
140,2018,ES,1,19,PRESIDENTE,11352
141,2018,ES,1,27,PRESIDENTE,792
142,2018,ES,1,30,PRESIDENTE,44306
143,2018,ES,1,45,PRESIDENTE,79049
144,2018,ES,1,50,PRESIDENTE,8358
145,2018,ES,1,51,PRESIDENTE,41734
146,2018,ES,1,54,PRESIDENTE,533
147,2018,ES,1,95,PRESIDENTE,61910
