,name,genus,vore,order,conservation,sleep_total,sleep_rem,sleep_cycle,awake,brainwt,bodywt
0,Cheetah,Acinonyx,carni,Carnivora,lc,12.1,,,11.9,,50.0
1,Owl monkey,Aotus,omni,Primates,,17.0,1.8,,7.0,0.0155,0.48
2,Mountain beaver,Aplodontia,herbi,Rodentia,nt,14.4,2.4,,9.6,,1.35
3,Greater short-tailed shrew,Blarina,omni,Soricomorpha,lc,14.9,2.3,0.133333333,9.1,0.00029,0.019
4,Cow,Bos,herbi,Artiodactyla,domesticated,4.0,0.7,0.666666667,20.0,0.423,600.0
5,Three-toed sloth,Bradypus,herbi,Pilosa,,14.4,2.2,0.7666666670000001,9.6,,3.85
6,Northern fur seal,Callorhinus,carni,Carnivora,vu,8.7,1.4,0.38333333299999994,15.3,,20.49
7,Vesper mouse,Calomys,,Rodentia,,7.0,,,17.0,,0.045
8,Dog,Canis,carni,Carnivora,domesticated,10.1,2.9,0.333333333,13.9,0.07,14.0
9,Roe deer,Capreolus,herbi,Artiodactyla,lc,3.0,,,21.0,0.0982,14.8
10,Goat,Capri,herbi,Artiodactyla,lc,5.3,0.6,,18.7,0.115,33.5
11,Guinea pig,Cavis,herbi,Rodentia,domesticated,9.4,0.8,0.21666666699999998,14.6,0.0055,0.728
12,Grivet,Cercopithecus,omni,Primates,lc,10.0,0.7,,14.0,,4.75
13,Chinchilla,Chinchilla,herbi,Rodentia,domesticated,12.5,1.5,0.11666666699999999,11.5,0.0064,0.42
14,Star-nosed mole,Condylura,omni,Soricomorpha,lc,10.3,2.2,,13.7,0.001,0.06
15,African giant pouched rat,Cricetomys,omni,Rodentia,,8.3,2.0,,15.7,0.0066,1.0
16,Lesser short-tailed shrew,Cryptotis,omni,Soricomorpha,lc,9.1,1.4,0.15,14.9,0.00014,0.005
17,Long-nosed armadillo,Dasypus,carni,Cingulata,lc,17.4,3.1,0.38333333299999994,6.6,0.0108,3.5
18,Tree hyrax,Dendrohyrax,herbi,Hyracoidea,lc,5.3,0.5,,18.7,0.0123,2.95
19,North American Opossum,Didelphis,omni,Didelphimorphia,lc,18.0,4.9,0.333333333,6.0,0.0063,1.7
20,Asian elephant,Elephas,herbi,Proboscidea,en,3.9,,,20.1,4.603,2547.0
21,Big brown bat,Eptesicus,insecti,Chiroptera,lc,19.7,3.9,0.11666666699999999,4.3,0.0003,0.023
22,Horse,Equus,herbi,Perissodactyla,domesticated,2.9,0.6,1.0,21.1,0.655,521.0
23,Donkey,Equus,herbi,Perissodactyla,domesticated,3.1,0.4,,20.9,0.419,187.0
24,European hedgehog,Erinaceus,omni,Erinaceomorpha,lc,10.1,3.5,0.283333333,13.9,0.0035,0.77
25,Patas monkey,Erythrocebus,omni,Primates,lc,10.9,1.1,,13.1,0.115,10.0
26,Western american chipmunk,Eutamias,herbi,Rodentia,,14.9,,,9.1,,0.071
27,Domestic cat,Felis,carni,Carnivora,domesticated,12.5,3.2,0.41666666700000005,11.5,0.0256,3.3
28,Galago,Galago,omni,Primates,,9.8,1.1,0.55,14.2,0.005,0.2
29,Giraffe,Giraffa,herbi,Artiodactyla,cd,1.9,0.4,,22.1,,899.995
30,Pilot whale,Globicephalus,carni,Cetacea,cd,2.7,0.1,,21.35,,800.0
31,Gray seal,Haliochoerus,carni,Carnivora,lc,6.2,1.5,,17.8,0.325,85.0
32,Gray hyrax,Heterohyrax,herbi,Hyracoidea,lc,6.3,0.6,,17.7,0.01227,2.625
33,Human,Homo,omni,Primates,,8.0,1.9,1.5,16.0,1.32,62.0
34,Mongoose lemur,Lemur,herbi,Primates,vu,9.5,0.9,,14.5,,1.67
35,African elephant,Loxodonta,herbi,Proboscidea,vu,3.3,,,20.7,5.712000000000001,6654.0
36,Thick-tailed opposum,Lutreolina,carni,Didelphimorphia,lc,19.4,6.6,,4.6,,0.37
37,Macaque,Macaca,omni,Primates,,10.1,1.2,0.75,13.9,0.179,6.8
38,Mongolian gerbil,Meriones,herbi,Rodentia,lc,14.2,1.9,,9.8,,0.053
39,Golden hamster,Mesocricetus,herbi,Rodentia,en,14.3,3.1,0.2,9.7,0.001,0.12
40,Vole ,Microtus,herbi,Rodentia,,12.8,,,11.2,,0.035
41,House mouse,Mus,herbi,Rodentia,nt,12.5,1.4,0.18333333300000001,11.5,0.0004,0.022000000000000002
42,Little brown bat,Myotis,insecti,Chiroptera,,19.9,2.0,0.2,4.1,0.00025,0.01
43,Round-tailed muskrat,Neofiber,herbi,Rodentia,nt,14.6,,,9.4,,0.266
44,Slow loris,Nyctibeus,carni,Primates,,11.0,,,13.0,0.0125,1.4
45,Degu,Octodon,herbi,Rodentia,lc,7.7,0.9,,16.3,,0.21
46,Northern grasshopper mouse,Onychomys,carni,Rodentia,lc,14.5,,,9.5,,0.027999999999999997
47,Rabbit,Oryctolagus,herbi,Lagomorpha,domesticated,8.4,0.9,0.41666666700000005,15.6,0.0121,2.5
48,Sheep,Ovis,herbi,Artiodactyla,domesticated,3.8,0.6,,20.2,0.175,55.5
49,Chimpanzee,Pan,omni,Primates,,9.7,1.4,1.4166666669999999,14.3,0.44,52.2
50,Tiger,Panthera,carni,Carnivora,en,15.8,,,8.2,,162.564
51,Jaguar,Panthera,carni,Carnivora,nt,10.4,,,13.6,0.157,100.0
52,Lion,Panthera,carni,Carnivora,vu,13.5,,,10.5,,161.499
53,Baboon,Papio,omni,Primates,,9.4,1.0,0.666666667,14.6,0.18,25.235
54,Desert hedgehog,Paraechinus,,Erinaceomorpha,lc,10.3,2.7,,13.7,0.0024,0.55
55,Potto,Perodicticus,omni,Primates,lc,11.0,,,13.0,,1.1
56,Deer mouse,Peromyscus,,Rodentia,,11.5,,,12.5,,0.021
57,Phalanger,Phalanger,,Diprotodontia,,13.7,1.8,,10.3,0.0114,1.62
58,Caspian seal,Phoca,carni,Carnivora,vu,3.5,0.4,,20.5,,86.0
59,Common porpoise,Phocoena,carni,Cetacea,vu,5.6,,,18.45,,53.18
60,Potoroo,Potorous,herbi,Diprotodontia,,11.1,1.5,,12.9,,1.1
61,Giant armadillo,Priodontes,insecti,Cingulata,en,18.1,6.1,,5.9,0.081,60.0
62,Rock hyrax,Procavia,,Hyracoidea,lc,5.4,0.5,,18.6,0.021,3.6
63,Laboratory rat,Rattus,herbi,Rodentia,lc,13.0,2.4,0.18333333300000001,11.0,0.0019,0.32
64,African striped mouse,Rhabdomys,omni,Rodentia,,8.7,,,15.3,,0.044000000000000004
65,Squirrel monkey,Saimiri,omni,Primates,,9.6,1.4,,14.4,0.02,0.743
66,Eastern american mole,Scalopus,insecti,Soricomorpha,lc,8.4,2.1,0.166666667,15.6,0.0012,0.075
67,Cotton rat,Sigmodon,herbi,Rodentia,,11.3,1.1,0.15,12.7,0.00118,0.14800000000000002
68,Mole rat,Spalax,,Rodentia,,10.6,2.4,,13.4,0.003,0.122
69,Arctic ground squirrel,Spermophilus,herbi,Rodentia,lc,16.6,,,7.4,0.0057,0.92
70,Thirteen-lined ground squirrel,Spermophilus,herbi,Rodentia,lc,13.8,3.4,0.21666666699999998,10.2,0.004,0.10099999999999999
71,Golden-mantled ground squirrel,Spermophilus,herbi,Rodentia,lc,15.9,3.0,,8.1,,0.205
72,Musk shrew,Suncus,,Soricomorpha,,12.8,2.0,0.18333333300000001,11.2,0.00033,0.048
73,Pig,Sus,omni,Artiodactyla,domesticated,9.1,2.4,0.5,14.9,0.18,86.25
74,Short-nosed echidna,Tachyglossus,insecti,Monotremata,,8.6,,,15.4,0.025,4.5
75,Eastern american chipmunk,Tamias,herbi,Rodentia,,15.8,,,8.2,,0.11199999999999999
76,Brazilian tapir,Tapirus,herbi,Perissodactyla,vu,4.4,1.0,0.9,19.6,0.16899999999999998,207.50099999999998
77,Tenrec,Tenrec,omni,Afrosoricida,,15.6,2.3,,8.4,0.0026,0.9
78,Tree shrew,Tupaia,omni,Scandentia,,8.9,2.6,0.233333333,15.1,0.0025,0.10400000000000001
79,Bottle-nosed dolphin,Tursiops,carni,Cetacea,,5.2,,,18.8,,173.33
80,Genet,Genetta,carni,Carnivora,,6.3,1.3,,17.7,0.0175,2.0
81,Arctic fox,Vulpes,carni,Carnivora,,12.5,,,11.5,0.0445,3.38
82,Red fox,Vulpes,carni,Carnivora,,9.8,2.4,0.35,14.2,0.0504,4.23
